family,trial,params,cv_log_loss
xgboost,6,"{""n_estimators"": 490, ""learning_rate"": 0.14435552318683476, ""max_depth"": 3, ""subsample"": 0.9548442090428425, ""colsample_bytree"": 0.7851196156532321, ""min_child_weight"": 5, ""reg_alpha"": 8.142977762395454e-06, ""reg_lambda"": 2.1798830577537536e-07}",0.7293665983893624
xgboost,7,"{""n_estimators"": 246, ""learning_rate"": 0.03295617883424198, ""max_depth"": 8, ""subsample"": 0.8744652961125978, ""colsample_bytree"": 0.8101116033332991, ""min_child_weight"": 7, ""reg_alpha"": 0.2323227374482852, ""reg_lambda"": 3.9595047334609483}",0.552684627042198
xgboost,8,"{""n_estimators"": 50, ""learning_rate"": 0.04949021858194563, ""max_depth"": 6, ""subsample"": 0.935681036284274, ""colsample_bytree"": 0.6033873349855204, ""min_child_weight"": 9, ""reg_alpha"": 1.9945794873162072e-05, ""reg_lambda"": 0.5665415675892038}",0.5533013517593228
xgboost,9,"{""n_estimators"": 59, ""learning_rate"": 0.015766160010575455, ""max_depth"": 8, ""subsample"": 0.571249717328008, ""colsample_bytree"": 0.6103022579930768, ""min_child_weight"": 1, ""reg_alpha"": 0.031102284620925937, ""reg_lambda"": 0.0016797990071964575}",0.5822957096334097
xgboost,10,"{""n_estimators"": 203, ""learning_rate"": 0.10284087284226857, ""max_depth"": 4, ""subsample"": 0.704849229227986, ""colsample_bytree"": 0.5061111835682613, ""min_child_weight"": 9, ""reg_alpha"": 1.0533594526021635e-08, ""reg_lambda"": 2.1132826801220354e-05}",0.5471443480050837
xgboost,11,"{""n_estimators"": 368, ""learning_rate"": 0.010952749675869726, ""max_depth"": 5, ""subsample"": 0.53453854135109, ""colsample_bytree"": 0.5020455676221318, ""min_child_weight"": 4, ""reg_alpha"": 9.802355356124954, ""reg_lambda"": 1.823562162550889e-05}",0.61097136251396
xgboost,12,"{""n_estimators"": 376, ""learning_rate"": 0.08803738002588209, ""max_depth"": 2, ""subsample"": 0.6095135698760259, ""colsample_bytree"": 0.6043806161771674, ""min_child_weight"": 4, ""reg_alpha"": 0.0003482829785791945, ""reg_lambda"": 0.11454001954321205}",0.625214601474979
xgboost,13,"{""n_estimators"": 297, ""learning_rate"": 0.023409731814762347, ""max_depth"": 4, ""subsample"": 0.7788475106254329, ""colsample_bytree"": 0.7185217013509594, ""min_child_weight"": 10, ""reg_alpha"": 0.0007660073693675261, ""reg_lambda"": 2.127654148993328e-05}",0.5422262033983217
xgboost,14,"{""n_estimators"": 294, ""learning_rate"": 0.02687791930783712, ""max_depth"": 4, ""subsample"": 0.7961428909012614, ""colsample_bytree"": 0.828610733210166, ""min_child_weight"": 10, ""reg_alpha"": 0.0005657754490053232, ""reg_lambda"": 3.593496963482909e-05}",0.5418700384600538
xgboost,15,"{""n_estimators"": 322, ""learning_rate"": 0.024433801757691696, ""max_depth"": 4, ""subsample"": 0.7951967130533756, ""colsample_bytree"": 0.8732840619396175, ""min_child_weight"": 10, ""reg_alpha"": 0.0004999807681619109, ""reg_lambda"": 5.308251222999984e-06}",0.5395062934306063
xgboost,16,"{""n_estimators"": 324, ""learning_rate"": 0.024895379636973386, ""max_depth"": 4, ""subsample"": 0.7996413431716927, ""colsample_bytree"": 0.8984906652889969, ""min_child_weight"": 10, ""reg_alpha"": 0.00011576093483467276, ""reg_lambda"": 9.704426828753993e-07}",0.5396375147183704
xgboost,17,"{""n_estimators"": 340, ""learning_rate"": 0.07174657797476776, ""max_depth"": 5, ""subsample"": 0.6378699740319361, ""colsample_bytree"": 0.9442917612481563, ""min_child_weight"": 9, ""reg_alpha"": 4.2084264678122334e-05, ""reg_lambda"": 1.3579810501753327e-08}",0.5540259834022602
xgboost,18,"{""n_estimators"": 423, ""learning_rate"": 0.01830123639408528, ""max_depth"": 3, ""subsample"": 0.8063102677700295, ""colsample_bytree"": 0.8913293297549789, ""min_child_weight"": 10, ""reg_alpha"": 0.003620204130342463, ""reg_lambda"": 8.047803606276093e-07}",0.5419845205683463
