logistic_isotonic,bma_ensemble
1.0,1.0
1.05,1.05
1.1025,1.1025
1.1576250000000001,1.1576250000000001
1.2155062500000002,1.2155062500000002
1.2762815625000004,1.2762815625000004
1.3400956406250004,1.3400956406250004
1.4071004226562505,1.4071004226562505
1.4071004226562505,1.4071004226562505
1.4071004226562505,1.4071004226562505
1.477455443789063,1.477455443789063
1.5513282159785162,1.5513282159785162
1.628894626777442,1.628894626777442
1.628894626777442,1.628894626777442
1.628894626777442,1.628894626777442
1.628894626777442,1.628894626777442
1.628894626777442,1.628894626777442
1.5474498954385698,1.5474498954385698
1.5474498954385698,1.5474498954385698
1.5474498954385698,1.5474498954385698
1.5474498954385698,1.5474498954385698
1.5474498954385698,1.5474498954385698
1.6248223902104983,1.6248223902104983
1.7060635097210233,1.7060635097210233
1.7913666852070744,1.7913666852070744
1.8809350194674281,1.8809350194674281
1.7868882684940566,1.7868882684940566
1.8762326819187596,1.8762326819187596
1.7824210478228215,1.7824210478228215
1.8715421002139627,1.8715421002139627
1.7779649952032646,1.7779649952032646
1.866863244963428,1.866863244963428
1.7735200827152564,1.7735200827152564
1.6848440785794936,1.6848440785794936
1.7690862825084683,1.7690862825084683
1.6806319683830448,1.6806319683830448
1.5966003699638924,1.5966003699638924
1.5167703514656978,1.5167703514656978
1.4409318338924129,1.4409318338924129
1.5129784255870335,1.5129784255870335
1.5886273468663854,1.5886273468663854
1.6680587142097048,1.6680587142097048
1.5846557784992195,1.5846557784992195
1.6638885674241806,1.6638885674241806
1.7470829957953897,1.7470829957953897
1.8344371455851594,1.8344371455851594
1.7427152883059014,1.7427152883059014
1.6555795238906061,1.6555795238906061
1.5728005476960758,1.5728005476960758
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.6514405750808796,1.6514405750808796
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.5688685463268355,1.5688685463268355
1.4904251190104936,1.4904251190104936
1.5649463749610184,1.5649463749610184
1.5649463749610184,1.5649463749610184
1.5649463749610184,1.5649463749610184
1.5649463749610184,1.5649463749610184
1.5649463749610184,1.5649463749610184
1.6431936937090694,1.6431936937090694
1.6431936937090694,1.6431936937090694
1.725353378394523,1.725353378394523
1.725353378394523,1.725353378394523
1.6390857094747968,1.6390857094747968
1.7210399949485367,1.7210399949485367
1.7210399949485367,1.7210399949485367
1.7210399949485367,1.7210399949485367
1.8070919946959636,1.8070919946959636
1.897446594430762,1.897446594430762
1.9923189241523,1.9923189241523
2.091934870359915,2.091934870359915
2.196531613877911,2.196531613877911
2.3063581945718066,2.3063581945718066
2.1910402848432162,2.1910402848432162
2.081488270601055,2.081488270601055
2.1855626841311078,2.1855626841311078
2.0762845499245524,2.0762845499245524
2.1800987774207803,2.1800987774207803
2.2891037162918195,2.2891037162918195
2.4035589021064108,2.4035589021064108
2.5237368472117314,2.5237368472117314
2.649923689572318,2.649923689572318
2.7824198740509343,2.7824198740509343
2.720863850661448,2.720863850661448
2.5848206581283755,2.5848206581283755
2.4555796252219566,2.4555796252219566
2.5783586064830546,2.5783586064830546
2.7072765368072074,2.7072765368072074
2.571912709966847,2.571912709966847
2.571912709966847,2.571912709966847
2.7005083454651895,2.7005083454651895
2.835533762738449,2.835533762738449
2.6937570746015265,2.6937570746015265
2.6937570746015265,2.6937570746015265
2.6937570746015265,2.6937570746015265
2.55906922087145,2.55906922087145
2.4311157598278776,2.4311157598278776
2.309559971836484,2.309559971836484
2.309559971836484,2.309559971836484
2.425037970428308,2.425037970428308
2.3037860719068926,2.3037860719068926
2.4189753755022374,2.4189753755022374
2.4189753755022374,2.4189753755022374
2.4189753755022374,2.4189753755022374
2.4189753755022374,2.4189753755022374
2.4189753755022374,2.4189753755022374
2.5399241442773492,2.5399241442773492
2.6669203514912168,2.6669203514912168
2.533574333916656,2.533574333916656
2.660253050612489,2.660253050612489
2.660253050612489,2.660253050612489
2.7932657031431134,2.7932657031431134
2.838959575646481,2.838959575646481
2.838959575646481,2.838959575646481
2.9809075544288053,2.9809075544288053
2.9809075544288053,2.9809075544288053
3.1299529321502457,3.1299529321502457
2.9734552855427334,2.9734552855427334
2.9734552855427334,2.9734552855427334
2.9734552855427334,2.9734552855427334
2.9734552855427334,2.9734552855427334
2.824782521265597,2.824782521265597
2.824782521265597,2.824782521265597
2.824782521265597,2.824782521265597
2.824782521265597,2.824782521265597
2.9660216473288767,2.9660216473288767
2.9660216473288767,2.9660216473288767
2.9660216473288767,2.9660216473288767
2.9660216473288767,2.9660216473288767
2.9660216473288767,2.9660216473288767
2.817720564962433,2.817720564962433
2.676834536714311,2.676834536714311
2.5429928098785957,2.5429928098785957
2.6701424503725257,2.6701424503725257
2.6701424503725257,2.6701424503725257
2.6701424503725257,2.6701424503725257
2.6701424503725257,2.6701424503725257
2.6701424503725257,2.6701424503725257
2.6701424503725257,2.6701424503725257
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.8036495728911524,2.8036495728911524
2.94383205153571,2.94383205153571
3.0910236541124956,3.0910236541124956
3.0910236541124956,3.0910236541124956
3.0910236541124956,3.0910236541124956
3.0910236541124956,3.0910236541124956
3.0910236541124956,3.0910236541124956
3.0910236541124956,3.0910236541124956
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.2455748368181205,3.2455748368181205
3.4078535786590267,3.4078535786590267
3.578246257591978,3.578246257591978
3.757158570471577,3.757158570471577
3.945016498995156,3.945016498995156
3.7477656740453984,3.7477656740453984
3.9351539577476684,3.9351539577476684
4.131911655635052,4.131911655635052
4.338507238416804,4.338507238416804
4.121581876495964,4.121581876495964
4.327660970320762,4.327660970320762
4.544044018836801,4.544044018836801
4.771246219778641,4.771246219778641
5.0098085307675735,5.0098085307675735
5.260298957305952,5.260298957305952
5.52331390517125,5.52331390517125
5.247148209912687,5.247148209912687
5.509505620408322,5.509505620408322
5.784980901428738,5.784980901428738
6.074229946500175,6.074229946500175
6.3779414438251845,6.3779414438251845
6.696838516016444,6.696838516016444
7.031680441817267,7.031680441817267
7.38326446390813,7.38326446390813
7.752427687103537,7.752427687103537
8.140049071458714,8.140049071458714
8.54705152503165,8.54705152503165
8.54705152503165,8.54705152503165
8.974404101283232,8.974404101283232
9.423124306347395,9.423124306347395
9.894280521664765,9.894280521664765
10.388994547748004,10.388994547748004
10.908444275135404,10.908444275135404
11.453866488892174,11.453866488892174
12.026559813336783,12.026559813336783
12.627887804003624,12.627887804003624
11.996493413803442,11.996493413803442
11.39666874311327,11.39666874311327
10.826835305957607,10.826835305957607
11.368177071255488,11.368177071255488
11.368177071255488,11.368177071255488
11.936585924818262,11.936585924818262
11.936585924818262,11.936585924818262
11.936585924818262,11.936585924818262
11.936585924818262,11.936585924818262
12.533415221059176,12.533415221059176
11.906744460006216,11.906744460006216
11.906744460006216,11.906744460006216
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
12.502081683006526,12.502081683006526
13.127185767156853,13.127185767156853
12.47082647879901,12.47082647879901
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
11.847285154859058,11.847285154859058
12.439649412602012,12.439649412602012
12.439649412602012,12.439649412602012
13.061631883232113,13.061631883232113
13.714713477393719,13.714713477393719
13.714713477393719,13.714713477393719
13.941373034070994,13.941373034070994
14.638441685774543,14.638441685774543
14.638441685774543,14.638441685774543
15.370363770063271,15.370363770063271
15.370363770063271,15.370363770063271
15.370363770063271,15.370363770063271
14.601845581560108,14.601845581560108
13.871753302482102,13.871753302482102
13.178165637357996,13.178165637357996
13.178165637357996,13.178165637357996
13.178165637357996,13.178165637357996
13.837073919225896,13.837073919225896
14.528927615187191,14.528927615187191
13.80248123442783,13.80248123442783
14.492605296149222,14.492605296149222
14.492605296149222,14.492605296149222
14.492605296149222,14.492605296149222
14.492605296149222,14.492605296149222
14.492605296149222,14.492605296149222
