team_a,team_b,p_bma,p_stack,p_risk_adaptive,ensemble_prob
Duke,Michigan,0.6444444444444445,0.5973077697313496,0.6444444444444445,0.6227939255351448
Duke,Arizona,0.7326797385620916,0.6658212570242704,0.7326797385620916,0.7019707242416663
Duke,Florida,0.5289855072463768,0.5020326365348401,0.5289855072463768,0.5166056853656041
Duke,Houston,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Duke,Gonzaga,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Iowa St.,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Duke,Illinois,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Duke,Purdue,0.7009803921568628,0.6418339945937562,0.7009803921568628,0.6738136434065262
Duke,UConn,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Michigan St.,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Virginia,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Nebraska,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Vanderbilt,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Louisville,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,Arkansas,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Alabama,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Texas Tech,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,Tennessee,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,Kansas,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,BYU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,North Carolina,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Wisconsin,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Iowa,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Utah St.,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Kentucky,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Saint Louis,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Ohio St.,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,UCLA,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Miami (FL),0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Georgia,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Clemson,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Villanova,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,SMU,0.6666666666666666,0.615047065576643,0.6666666666666666,0.6429570784046081
Duke,TCU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Auburn,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,Santa Clara,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Indiana,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Duke,Texas,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Texas A&M,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,VCU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,San Diego St.,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,New Mexico,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Oklahoma,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Cincinnati,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Duke,Tulsa,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Baylor,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,UCF,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Akron,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Seton Hall,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Virginia Tech,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Washington,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Missouri,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,West Virginia,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Boise St.,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Stanford,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Florida St.,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Belmont,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Miami (OH),0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Northwestern,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Yale,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,Wake Forest,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Duke,California,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Michigan,Arizona,0.7326797385620916,0.6658212570242704,0.7326797385620916,0.7019707242416663
Michigan,Florida,0.5289855072463768,0.5020326365348401,0.5289855072463768,0.5166056853656041
Michigan,Houston,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Michigan,Gonzaga,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Michigan,Iowa St.,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Michigan,Illinois,0.5381473916775846,0.5096914566878242,0.5381473916775846,0.5250771918315514
Michigan,Purdue,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Michigan,UConn,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Michigan,Michigan St.,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Michigan,Virginia,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Michigan,Nebraska,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Michigan,Vanderbilt,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Michigan,Louisville,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Michigan,Arkansas,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Michigan,Alabama,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Michigan,Texas Tech,0.7009803921568628,0.6418339945937562,0.7009803921568628,0.6738136434065262
Michigan,Tennessee,0.7009803921568628,0.6418339945937562,0.7009803921568628,0.6738136434065262
Michigan,Kansas,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Michigan,BYU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Michigan,North Carolina,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Michigan,Wisconsin,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
