year,favorite_win_flag,logistic_isotonic
2011,0,0.35714285714285715
2012,0,0.24758729414260494
2012,0,0.1111111111111111
2014,0,0.125
2012,0,0.35714285714285715
2014,0,0.2962962962962963
2014,1,0.5375
2013,0,0.125
2011,1,0.17998258841256565
2011,0,0.16374269005847952
2012,0,0.125
2012,1,0.4571428571428572
2013,1,0.35714285714285715
2011,0,0.6875
2011,1,0.5736004686442499
2011,0,0.08333333333333333
2012,0,0.125
2013,0,0.4901315789473684
2013,0,0.09615384615384616
2013,1,0.4
2012,0,0.4375
2012,0,0.125
2014,0,0.17647058823529413
2012,0,0.125
2011,1,0.3125
2011,1,0.125
2011,0,0.10714285714285714
2012,1,0.19575832482635186
2013,0,0.1111111111111111
2011,1,0.5638252277919582
2011,0,0.42857142857142855
2014,0,0.2962962962962963
2011,1,0.55
2011,0,0.2148492900420752
2014,0,0.113084075660748
2011,1,0.4375
2013,1,0.09615384615384616
2012,0,0.125
2014,0,0.17647058823529413
2013,0,0.09615384615384616
2013,0,0.125
2012,0,0.08333333333333333
2013,0,0.35714285714285715
2012,1,0.26691729323308266
2012,0,0.16666666666666666
2013,0,0.10714285714285714
2011,1,0.4375
2012,0,0.18665806922368366
2014,0,0.125
2013,0,0.4125
2014,0,0.17647058823529413
2014,0,0.2962962962962963
2012,1,0.1111111111111111
2012,0,0.125
2014,0,0.125
2013,1,0.125
2013,0,0.09615384615384616
2013,0,0.125
2012,0,0.1111111111111111
2012,0,0.125
2014,1,0.17647058823529413
2013,1,0.125
2013,0,0.09375
2014,0,0.3962962962962963
2014,1,0.03809523809523809
2011,0,0.25
2012,0,0.125
2012,0,0.08333333333333333
2012,1,0.13209368722203182
2014,0,0.17647058823529413
2014,0,0.17647058823529413
2014,1,0.17647058823529413
2013,0,0.125
2013,1,0.5082633719271964
2011,1,0.1111111111111111
2012,0,0.1111111111111111
2014,0,0.29038774203182577
2014,1,0.17647058823529413
2011,1,0.125
2012,0,0.125
2012,0,0.09375
2012,0,0.125
2011,1,0.09615384615384616
2011,1,0.025
2014,0,0.03809523809523809
2014,0,0.03809523809523809
2013,0,0.125
2011,0,0.1875
2011,0,0.09375
2013,0,0.16666666666666666
2011,0,0.3125
2014,0,0.03809523809523809
2013,0,0.08333333333333333
