Team,Record,NET Rank,NET Delta
Weber State,14-16,203,-6.0
Eastern Washington,13-19,204,-3.0
Louisiana Tech,17-14,205,8.0
Missouri State,13-18,206,8.0
Tennessee-Martin,19-11,207,-3.0
Tulane,17-15,208,-2.0
James Madison,17-15,209,-2.0
South Dakota State,11-18,210,-1.0
Indiana State,9-21,211,4.0
Drexel,16-16,212,-2.0
Quinnipiac,18-13,213,-1.0
Southern Miss,17-16,214,4.0
New Orleans,15-18,215,-7.0
Jacksonville State,12-17,216,-5.0
Samford,16-14,217,
Green Bay,16-15,218,-2.0
Youngstown State,12-17,219,1.0
Georgia Southern,19-16,220,-1.0
Detroit,15-15,221,8.0
Portland,13-19,222,-1.0
Elon,12-18,223,-1.0
Vermont,20-12,224,-1.0
Southeast Missouri,17-13,225,
Cal Poly,12-19,226,2.0
Colgate,16-15,227,3.0
Coastal Carolina,18-13,228,3.0
Western Carolina,13-16,229,-3.0
Tarleton State,10-18,230,-6.0
Ohio,13-17,231,-4.0
Stony Brook,15-15,232,
Saint Peter's,16-12,233,
San Diego,10-21,234,
Texas State,17-13,235,2.0
Idaho State,10-20,236,
Eastern Michigan,9-21,237,3.0
Iona,18-14,238,1.0
UNC Asheville,12-17,239,-1.0
Fairfield,20-13,240,2.0
Denver,12-17,241,
Charleston Southern,12-17,242,1.0
San Jose State,8-24,243,13.0
Rice,11-18,244,
La Salle,8-23,245,-10.0
Wofford,17-13,246,-1.0
FGCU,14-18,247,
Abilene Christian,11-19,248,
Princeton,8-20,249,
Lamar,10-19,250,
Nicholls,13-19,251,-5.0
Radford,13-16,252,-1.0
Purdue Fort Wayne,14-15,253,
Milwaukee,11-20,254,-2.0
Old Dominion,11-21,255,-1.0
American,14-16,256,3.0
Long Beach State,8-22,257,3.0
Omaha,12-17,258,
SIUE,16-13,259,2.0
Presbyterian College,12-18,260,2.0
Bethune-Cookman,16-15,261,-6.0
Lindenwood,15-15,262,1.0
Dartmouth,9-16,263,1.0
Boston University,16-17,264,-7.0
Morehead State,17-13,265,
Longwood,13-16,266,1.0
East Carolina,10-20,267,-1.0
UTEP,8-20,268,
Sacramento State,7-21,269,
Hampton,11-19,270,
North Dakota,15-17,271,1.0
Southern Utah,7-22,272,-1.0
UC Riverside,8-22,273,1.0
Pepperdine,7-23,274,-1.0
Southern,14-17,275,2.0
Lehigh,16-16,276,6.0
North Carolina A&T,9-19,277,-1.0
Mercyhurst,15-17,278,-3.0
Central Michigan,8-21,279,1.0
Loyola-Chicago,9-24,280,9.0
Mount Saint Mary's,14-17,281,-2.0
Incarnate Word,9-19,282,-4.0
Western Michigan,9-20,283,-2.0
South Dakota,13-16,284,
Northeastern,7-24,285,-2.0
Bellarmine,11-19,286,-1.0
Delaware,10-20,287,-1.0
Chattanooga,10-19,288,-1.0
Central Connecticut,16-12,289,-1.0
Le Moyne,14-17,290,
Eastern Kentucky,9-21,291,
UNCG,13-19,292,1.0
Houston Christian,10-20,293,1.0
Sacred Heart,13-19,294,-2.0
Southeastern Louisiana,8-22,295,1.0
Brown,7-18,296,-1.0
Jacksonville,10-20,297,
West Georgia,13-17,298,
Ball State,10-19,299,
Northwestern State,8-22,300,
Wagner,11-17,301,3.0
South Carolina Upstate,10-19,302,1.0
East Texas A&M,9-21,303,-1.0
Grambling State,12-19,304,-3.0
Prairie View A&M,14-17,305,11.0
Evansville,5-25,306,-1.0
Georgia State,8-22,307,-1.0
Tennessee Tech,10-18,308,-1.0
Little Rock,10-20,309,
Alabama A&M,15-15,310,-2.0
Oral Roberts,7-23,311,
Louisiana,11-22,312,
Florida A&M,13-16,313,2.0
Stetson,10-21,314,-4.0
Northern Arizona,7-22,315,-1.0
Arkansas-Pine Bluff,11-19,316,1.0
Cleveland State,8-22,317,2.0
Norfolk State,11-17,318,-5.0
IU Indianapolis,5-25,319,3.0
Eastern Illinois,10-20,320,3.0
UMass-Lowell,12-18,321,-3.0
Texas Southern,10-18,322,-2.0
Lafayette,10-21,323,1.0
Alabama State,9-22,324,-3.0
New Haven,11-17,325,1.0
Albany,8-21,326,-1.0
NJIT,15-17,327,
Loyola-Maryland,10-20,328,
Manhattan,11-20,329,
Cal State Bakersfield,6-24,330,
Holy Cross,9-22,331,
Stonehill,10-21,332,
Bucknell,10-23,333,
Fairleigh Dickinson,8-21,334,
Northern Illinois,7-21,335,1.0
Army,9-21,336,-1.0
North Florida,5-25,337,
North Alabama,7-21,338,
Maine,7-24,339,
Chicago State,6-25,340,
Niagara,7-22,341,
UTSA,3-25,342,
Canisius,9-21,343,
North Carolina Central,10-18,344,3.0
Southern Indiana,5-23,345,-1.0
The Citadel,8-22,346,-1.0
Jackson State,12-21,347,1.0
New Hampshire,7-21,348,-2.0
Alcorn State,9-23,349,3.0
Air Force,3-29,350,-1.0
Maryland Eastern Shore,7-23,351,-1.0
Morgan State,11-16,352,-1.0
Saint Francis (PA),5-24,353,
Bryant,7-22,354,
ULM,2-28,355,
South Carolina State,8-22,356,1.0
Rider,3-25,357,-1.0
UMKC,1-27,358,
VMI,3-26,359,
Binghamton,5-23,360,
Gardner-Webb,2-28,361,
Delaware State,5-22,362,
Coppin State,6-24,363,
Western Illinois,2-26,364,
Mississippi Valley State,2-30,365,
