sim,champion,final4
2919,Gonzaga,Duke|Gonzaga|Iowa St.|Illinois
2920,Houston,Houston|UConn|Iowa St.|McNeese
2921,Houston,Houston|Gonzaga|Arizona|Florida
2922,Duke,Duke|Ohio St.|Iowa St.|Illinois
2923,Duke,Duke|Saint Mary's (CA)|Louisville|Illinois
2924,Houston,Houston|Vanderbilt|Tennessee|NC State
2925,UCLA,Wisconsin|Ohio St.|UCLA|Arkansas
2926,Tennessee,Houston|Vanderbilt|Tennessee|McNeese
2927,Texas A&M,Duke|Saint Mary's (CA)|Texas A&M|St. John's (NY)
2928,Florida,Houston|Texas Tech|Iowa St.|Florida
2929,Michigan,Purdue|Michigan|Iowa St.|Illinois
2930,Duke,Duke|Michigan|Tennessee|Florida
2931,Louisville,Nebraska|Ohio St.|Louisville|St. John's (NY)
2932,Illinois,Houston|UConn|Arizona|Illinois
2933,Iowa St.,Georgia|Texas Tech|Iowa St.|Illinois
2934,Duke,Duke|Vanderbilt|Louisville|Cincinnati
2935,Duke,Duke|Texas|Arizona|Virginia
2936,Duke,Duke|Michigan|Iowa St.|McNeese
2937,Purdue,Purdue|Ohio St.|Arizona|McNeese
2938,Illinois,SMU|Michigan|Iowa St.|Illinois
2939,Iowa St.,Duke|UConn|Iowa St.|Virginia
2940,Iowa,Houston|Iowa|Tennessee|Florida
2941,Houston,Houston|UConn|Arizona|NC State
2942,Iowa St.,Purdue|Michigan|Iowa St.|Illinois
2943,Illinois,Nebraska|Iowa|Tennessee|Illinois
2944,Illinois,Alabama|Ohio St.|Iowa St.|Illinois
2945,Houston,Houston|Michigan|Utah St.|Cincinnati
2946,Houston,Houston|UConn|Iowa St.|Cincinnati
2947,Duke,Duke|Gonzaga|Baylor|McNeese
2948,Texas Tech,Kansas|Texas Tech|Arizona|McNeese
2949,TCU,Duke|TCU|Iowa St.|St. John's (NY)
2950,Duke,Duke|UConn|Tennessee|NC State
2951,Houston,Houston|Vanderbilt|Iowa St.|Florida
2952,Iowa St.,Alabama|Michigan|Iowa St.|NC State
2953,Houston,Houston|Vanderbilt|Arizona|Illinois
2954,Illinois,Houston|Gonzaga|Iowa St.|Illinois
2955,Michigan,Houston|Michigan|Tennessee|Illinois
2956,Texas Tech,Alabama|Texas Tech|Iowa St.|NC State
2957,Tennessee,South Fla.|Gonzaga|Tennessee|Florida
2958,Illinois,South Fla.|Michigan|Tennessee|Illinois
2959,Houston,Houston|UConn|Oklahoma|McNeese
2960,Duke,Duke|Vanderbilt|Texas A&M|Florida
2961,Illinois,Purdue|UConn|Texas A&M|Illinois
2962,Duke,Duke|UConn|Arizona|Florida
2963,Florida,Houston|Texas|Arizona|Florida
2964,Michigan St.,SMU|UConn|Michigan St.|Arkansas
2965,Duke,Duke|Vanderbilt|Tennessee|Illinois
2966,Iowa St.,Purdue|Vanderbilt|Iowa St.|Miami (FL)
2967,Texas Tech,Purdue|Texas Tech|Arizona|Arkansas
2968,Iowa St.,Duke|Michigan|Iowa St.|Florida
2969,Florida,Purdue|Clemson|Louisville|Florida
2970,Iowa St.,Duke|Michigan|Iowa St.|Illinois
2971,Florida,Kansas|UConn|Tennessee|Florida
2972,Duke,Duke|Ohio St.|Iowa St.|Virginia
2973,Michigan,SMU|Michigan|Iowa St.|Illinois
2974,Duke,Duke|Gonzaga|UCLA|St. John's (NY)
2975,Illinois,Nebraska|Michigan|Michigan St.|Illinois
2976,Louisville,Duke|Gonzaga|Louisville|Virginia
2977,Iowa St.,Purdue|Texas Tech|Iowa St.|Illinois
2978,Michigan St.,Houston|UConn|Michigan St.|Arkansas
2979,Iowa St.,Purdue|Texas Tech|Iowa St.|Arkansas
2980,Michigan St.,South Fla.|UConn|Michigan St.|Florida
2981,Arizona,Houston|Texas Tech|Arizona|Florida
2982,Louisville,Houston|Saint Mary's (CA)|Louisville|North Carolina
2983,Purdue,Purdue|UConn|Iowa St.|Illinois
2984,Houston,Houston|Michigan|Louisville|Florida
2985,Illinois,Duke|Texas Tech|Iowa St.|Illinois
2986,Michigan,Houston|Michigan|Utah St.|Arkansas
2987,Illinois,Houston|Iowa|Iowa St.|Illinois
2988,Illinois,Houston|Michigan|Iowa St.|Illinois
2989,Michigan,Purdue|Michigan|Tennessee|Illinois
2990,Duke,Duke|Gonzaga|Arizona|Illinois
2991,UConn,Houston|UConn|Michigan St.|Illinois
2992,New Mexico,Houston|New Mexico|Arizona|Cincinnati
2993,Duke,Duke|Gonzaga|Villanova|Miami (FL)
2994,Duke,Duke|UConn|Iowa St.|Illinois
2995,Illinois,Houston|Iowa|Tennessee|Illinois
2996,Duke,Duke|Gonzaga|Michigan St.|NC State
2997,Florida,Alabama|Gonzaga|Iowa St.|Florida
2998,Houston,Houston|Michigan|Tennessee|Florida
2999,Tennessee,Duke|Michigan|Tennessee|Illinois
3000,Iowa St.,Houston|Michigan|Iowa St.|St. John's (NY)
3001,Arizona,Duke|Saint Mary's (CA)|Arizona|Illinois
3002,Ohio St.,South Fla.|Ohio St.|Michigan St.|Illinois
3003,Florida,Houston|Gonzaga|Arizona|Florida
3004,Purdue,Purdue|Vanderbilt|Iowa St.|Florida
3005,Iowa St.,Houston|Ohio St.|Iowa St.|Virginia
3006,Indiana,Indiana|Vanderbilt|UCLA|Illinois
3007,Texas Tech,Washington|Texas Tech|UCLA|St. John's (NY)
3008,Duke,Duke|UConn|Iowa St.|Virginia
3009,Cincinnati,Duke|Michigan|Iowa St.|Cincinnati
3010,Houston,Houston|Iowa|Louisville|Miami (FL)
3011,Houston,Houston|Texas Tech|Iowa St.|Florida
3012,Duke,Duke|Michigan|Michigan St.|St. John's (NY)
3013,Illinois,Purdue|Michigan|Arizona|Illinois
3014,Houston,Houston|Michigan|Tennessee|North Carolina
3015,Arizona,Purdue|Michigan|Arizona|Illinois
3016,Louisville,Alabama|Iowa|Louisville|North Carolina
3017,Illinois,Houston|Michigan|Arizona|Illinois
3018,Houston,Houston|Michigan|Arizona|North Carolina
3019,Duke,Duke|Michigan|Tennessee|St. John's (NY)
3020,Purdue,Purdue|Gonzaga|Iowa St.|Cincinnati
3021,Saint Mary's (CA),Houston|Saint Mary's (CA)|Arizona|Arkansas
3022,Purdue,Purdue|Vanderbilt|Arizona|Florida
3023,Illinois,Duke|Iowa|Iowa St.|Illinois
3024,Florida,Houston|Michigan|Iowa St.|Florida
3025,Michigan,Duke|Michigan|Tennessee|Florida
3026,St. John's (NY),SMU|UConn|Tennessee|St. John's (NY)
3027,Illinois,Duke|Clemson|Iowa St.|Illinois
3028,Illinois,Kansas|Iowa|Arizona|Illinois
3029,Michigan,Duke|Michigan|Michigan St.|Illinois
3030,UCF,Purdue|Ohio St.|Louisville|UCF
3031,Texas Tech,Purdue|Texas Tech|Tennessee|North Carolina
3032,Florida,Kansas|UConn|Iowa St.|Florida
3033,Alabama,Alabama|Ohio St.|Michigan St.|Santa Clara
3034,Illinois,Duke|Michigan|Louisville|Illinois
3035,Michigan,South Fla.|Michigan|Tennessee|McNeese
3036,Arizona,Houston|Michigan|Arizona|Illinois
3037,Michigan,Houston|Michigan|Arizona|St. John's (NY)
3038,Duke,Duke|Gonzaga|Arizona|Florida
3039,McNeese,Duke|Gonzaga|Iowa St.|McNeese
3040,Virginia,Purdue|Saint Mary's (CA)|Iowa St.|Virginia
3041,Houston,Houston|Texas Tech|Arizona|Florida
3042,Iowa St.,Purdue|Vanderbilt|Iowa St.|Miami (OH)
3043,Arizona,Kansas|Texas Tech|Arizona|Florida
3044,Michigan,Purdue|Michigan|Arizona|Illinois
3045,Duke,Duke|Texas Tech|Louisville|McNeese
3046,Duke,Duke|Michigan|Michigan St.|St. John's (NY)
3047,Duke,Duke|Michigan|Michigan St.|Illinois
3048,Arizona,SMU|Vanderbilt|Arizona|Virginia
3049,Florida,Houston|Saint Mary's (CA)|Iowa St.|Florida
3050,Iowa St.,Houston|UConn|Iowa St.|Illinois
3051,Arizona,SMU|Gonzaga|Arizona|Santa Clara
3052,Arizona,Nebraska|Michigan|Arizona|North Carolina
3053,Purdue,Purdue|Ohio St.|Iowa St.|Illinois
3054,Iowa,Alabama|Iowa|Iowa St.|McNeese
3055,Illinois,Purdue|Vanderbilt|Louisville|Illinois
3056,Houston,Houston|Ohio St.|UCLA|Illinois
3057,Illinois,Duke|Texas Tech|Arizona|Illinois
3058,Florida,Houston|Texas Tech|Tennessee|Florida
3059,Illinois,Alabama|Ohio St.|Iowa St.|Illinois
3060,Houston,Houston|UConn|Iowa St.|Illinois
3061,Michigan,Duke|Michigan|Iowa St.|Florida
3062,Arizona,Purdue|Vanderbilt|Arizona|Santa Clara
3063,St. John's (NY),South Fla.|Texas Tech|Iowa St.|St. John's (NY)
3064,Michigan,Houston|Michigan|Iowa St.|McNeese
3065,Houston,Houston|UConn|Arizona|McNeese
3066,Michigan,Purdue|Michigan|Louisville|McNeese
3067,Michigan,San Diego St.|Michigan|Iowa St.|Florida
3068,Michigan,Houston|Michigan|Arizona|Florida
3069,Duke,Duke|Michigan|Louisville|Florida
3070,Duke,Duke|Texas Tech|Arizona|Santa Clara
3071,Houston,Houston|Texas Tech|Arizona|Illinois
3072,Arizona,Duke|UConn|Arizona|Florida
3073,Duke,Duke|Michigan|Iowa St.|Florida
3074,Florida,Kansas|Ohio St.|Tennessee|Florida
3075,NC State,Duke|Michigan|Iowa St.|NC State
3076,NC State,Duke|Ohio St.|Arizona|NC State
3077,UConn,Purdue|UConn|Louisville|Illinois
3078,Houston,Houston|Iowa|Arizona|Illinois
3079,Houston,Houston|Iowa|Iowa St.|Virginia
3080,Florida,Duke|Texas Tech|Louisville|Florida
3081,Texas Tech,Houston|Texas Tech|Arizona|Miami (OH)
3082,Tennessee,Houston|Iowa|Tennessee|Illinois
3083,Houston,Houston|Michigan|Tennessee|Illinois
3084,Duke,Duke|UConn|Arizona|Florida
3085,Illinois,Purdue|Gonzaga|Utah St.|Illinois
3086,Michigan St.,Wisconsin|Gonzaga|Michigan St.|NC State
3087,Iowa,San Diego St.|Iowa|Michigan St.|Illinois
3088,Michigan,Nebraska|Michigan|Utah St.|Illinois
3089,Illinois,Purdue|UConn|Arizona|Illinois
3090,Illinois,Purdue|Gonzaga|Michigan St.|Illinois
3091,Illinois,Purdue|Gonzaga|Iowa St.|Illinois
3092,Michigan,Purdue|Michigan|Iowa St.|Kentucky
3093,Duke,Duke|Vanderbilt|Iowa St.|Cincinnati
3094,Gonzaga,Houston|Gonzaga|Louisville|North Carolina
3095,SMU,SMU|Michigan|Arizona|Illinois
3096,Houston,Houston|Michigan|Iowa St.|St. John's (NY)
3097,Florida,Duke|Vanderbilt|Iowa St.|Florida
3098,Michigan,Kansas|Michigan|Tennessee|Arkansas
3099,Saint Mary's (CA),Duke|Saint Mary's (CA)|Michigan St.|Illinois
3100,Michigan,Houston|Michigan|Arizona|Santa Clara
3101,Duke,Duke|Michigan|Virginia Tech|Illinois
3102,Arizona,Duke|Vanderbilt|Arizona|North Carolina
3103,Arizona,Houston|Iowa|Arizona|Illinois
3104,South Fla.,South Fla.|Gonzaga|Iowa St.|Florida
3105,Iowa St.,Alabama|Ohio St.|Iowa St.|Florida
3106,Iowa St.,Wisconsin|Iowa|Iowa St.|Virginia
3107,Houston,Houston|Ohio St.|Michigan St.|Florida
3108,Houston,Houston|Texas Tech|Michigan St.|St. John's (NY)
3109,NC State,Houston|UConn|Iowa St.|NC State
3110,Michigan,Nebraska|Michigan|Michigan St.|Arkansas
3111,Houston,Houston|UConn|Michigan St.|Florida
3112,Illinois,Houston|Michigan|Louisville|Illinois
3113,Florida,Duke|Michigan|Louisville|Florida
3114,Iowa St.,Purdue|Iowa|Iowa St.|St. John's (NY)
3115,Duke,Duke|UConn|Louisville|Arkansas
3116,Michigan,Alabama|Michigan|Iowa St.|Illinois
3117,Arizona,Houston|Michigan|Arizona|North Carolina
3118,Houston,Houston|Gonzaga|Michigan St.|McNeese
3119,Purdue,Purdue|Iowa|Iowa St.|Illinois
3120,NC State,Duke|Texas Tech|Iowa St.|NC State
3121,Iowa St.,Houston|UConn|Iowa St.|St. John's (NY)
3122,Illinois,Houston|Texas Tech|Iowa St.|Illinois
3123,Houston,Houston|Gonzaga|Louisville|Cincinnati
3124,Illinois,Purdue|UConn|Iowa St.|Illinois
3125,UConn,Wisconsin|UConn|Arizona|Kentucky
3126,NC State,Duke|Texas Tech|Arizona|NC State
3127,North Carolina,Georgia|Vanderbilt|Iowa St.|North Carolina
3128,Illinois,Houston|Iowa|Tennessee|Illinois
3129,McNeese,Nebraska|Michigan|Iowa St.|McNeese
3130,Houston,Houston|Saint Mary's (CA)|Louisville|Arkansas
3131,Michigan,Wisconsin|Michigan|Louisville|NC State
3132,Duke,Duke|Saint Mary's (CA)|Arizona|Florida
3133,Florida,Alabama|UConn|Michigan St.|Florida
3134,Illinois,SMU|Gonzaga|Arizona|Illinois
3135,Florida,Duke|Michigan|UCLA|Florida
3136,McNeese,Houston|Texas Tech|Iowa St.|McNeese
3137,McNeese,Houston|Vanderbilt|Michigan St.|McNeese
3138,Illinois,Alabama|Michigan|Arizona|Illinois
3139,Saint Mary's (CA),Indiana|Saint Mary's (CA)|Iowa St.|Florida
3140,Saint Mary's (CA),Houston|Saint Mary's (CA)|Iowa St.|Cincinnati
3141,Iowa St.,Houston|Ohio St.|Iowa St.|Florida
3142,NC State,Houston|Gonzaga|Texas A&M|NC State
3143,Illinois,Houston|Iowa|Arizona|Illinois
3144,Louisville,South Fla.|Vanderbilt|Louisville|North Carolina
3145,Florida,Duke|UConn|Iowa St.|Florida
3146,Florida,Houston|Texas Tech|BYU|Florida
3147,Houston,Houston|Saint Mary's (CA)|Arizona|Illinois
3148,Iowa St.,Duke|Michigan|Iowa St.|NC State
3149,Florida,Purdue|Michigan|Iowa St.|Florida
3150,Michigan,Purdue|Michigan|Iowa St.|Florida
3151,Illinois,Alabama|Ohio St.|Arizona|Illinois
3152,Duke,Duke|UConn|Michigan St.|Florida
3153,UConn,Georgia|UConn|Iowa St.|NC State
3154,Arizona,Alabama|Texas Tech|Arizona|Arkansas
3155,Illinois,Duke|Iowa|Michigan St.|Illinois
3156,Florida,Purdue|UConn|Iowa St.|Florida
3157,Purdue,Purdue|Michigan|Michigan St.|Arkansas
3158,Iowa St.,Duke|UConn|Iowa St.|NC State
3159,Michigan,Alabama|Michigan|Iowa St.|Illinois
3160,Houston,Houston|Michigan|Arizona|Cincinnati
3161,Duke,Duke|UConn|Tennessee|VCU
3162,Florida,Duke|Gonzaga|Arizona|Florida
3163,Illinois,South Fla.|Michigan|Arizona|Illinois
3164,Illinois,Akron|Michigan|Iowa St.|Illinois
3165,Houston,Houston|Michigan|Arizona|Kentucky
3166,SMU,SMU|UConn|Arizona|St. John's (NY)
3167,Houston,Houston|Michigan|Tennessee|NC State
3168,Houston,Houston|Michigan|Tennessee|Illinois
3169,Michigan,Alabama|Michigan|Arizona|Florida
3170,Houston,Houston|Texas Tech|Iowa St.|NC State
3171,Illinois,Purdue|Michigan|Arizona|Illinois
3172,Duke,Duke|Michigan|Arizona|Florida
3173,Michigan,Purdue|Michigan|Utah St.|Illinois
3174,Florida,Duke|Vanderbilt|Iowa St.|Florida
3175,Duke,Duke|Michigan|Iowa St.|Florida
3176,Duke,Duke|Iowa|UCLA|North Carolina
3177,Nebraska,Nebraska|UConn|Arizona|Florida
3178,Purdue,Purdue|Gonzaga|Arizona|NC State
3179,Duke,Duke|Michigan|Iowa St.|Illinois
3180,Michigan,South Fla.|Michigan|Michigan St.|Cincinnati
3181,Duke,Duke|UConn|Utah St.|Boise St.
3182,Arizona,Purdue|Texas Tech|Arizona|Arkansas
3183,Duke,Duke|Ohio St.|Iowa St.|Illinois
3184,Texas A&M,Duke|Saint Mary's (CA)|Texas A&M|Illinois
3185,Iowa St.,Houston|Michigan|Iowa St.|Illinois
3186,Houston,Houston|Ohio St.|Louisville|Arkansas
3187,Purdue,Purdue|Michigan|Louisville|Illinois
3188,Michigan,Duke|Michigan|Iowa St.|Boise St.
3189,Michigan,Duke|Michigan|Auburn|Cincinnati
3190,Illinois,Houston|Vanderbilt|Auburn|Illinois
3191,Houston,Houston|Texas Tech|Iowa St.|Illinois
3192,Vanderbilt,Alabama|Vanderbilt|Tennessee|NC State
3193,Iowa St.,Purdue|Texas Tech|Iowa St.|Cincinnati
3194,Duke,Duke|Texas Tech|Louisville|Illinois
3195,Arizona,Nebraska|Michigan|Arizona|NC State
3196,Arizona,Houston|Michigan|Arizona|Illinois
3197,Houston,Houston|Texas Tech|Louisville|Cincinnati
3198,Purdue,Purdue|Texas Tech|Auburn|Florida
3199,Duke,Duke|Iowa|Arizona|Cincinnati
3200,SMU,SMU|Michigan|UCLA|Illinois
3201,Florida,South Fla.|Michigan|Tennessee|Florida
3202,UConn,Duke|UConn|Arizona|Virginia
3203,Illinois,Duke|Ohio St.|Louisville|Illinois
3204,Houston,Houston|Iowa|Iowa St.|Florida
3205,Miami (FL),Duke|UConn|Arizona|Miami (FL)
3206,Michigan,Nebraska|Michigan|Iowa St.|Cincinnati
3207,Iowa St.,Georgia|Iowa|Iowa St.|North Carolina
3208,Duke,Duke|Iowa|UCLA|Virginia
3209,Michigan,Houston|Michigan|Oklahoma|Illinois
3210,Ohio St.,Purdue|Ohio St.|Arizona|Cincinnati
3211,Illinois,Purdue|Texas Tech|Iowa St.|Illinois
3212,NC State,Houston|Vanderbilt|Iowa St.|NC State
3213,Iowa St.,Purdue|Gonzaga|Iowa St.|Virginia
3214,Arkansas,Nebraska|Texas Tech|Oklahoma|Arkansas
3215,Cincinnati,South Fla.|Vanderbilt|Louisville|Cincinnati
3216,Illinois,Purdue|Michigan|Iowa St.|Illinois
3217,Iowa,Houston|Iowa|Tennessee|Florida
3218,St. John's (NY),Houston|Michigan|Michigan St.|St. John's (NY)
3219,Florida,Houston|Vanderbilt|Tennessee|Florida
3220,Duke,Duke|Gonzaga|Arizona|Santa Clara
3221,Duke,Duke|Michigan|Iowa St.|Florida
3222,Duke,Duke|Vanderbilt|Iowa St.|Illinois
3223,Houston,Houston|Iowa|Arizona|Illinois
3224,Houston,Houston|Gonzaga|Auburn|Florida
3225,Illinois,South Fla.|Texas Tech|Oklahoma|Illinois
3226,Duke,Duke|Iowa|Iowa St.|Florida
3227,Iowa St.,Purdue|Texas Tech|Iowa St.|Illinois
