sim,champion,final4
0,Florida,Duke|Ohio St.|Iowa St.|Florida
1,Duke,Duke|Michigan|Tennessee|Arkansas
2,Arizona,Duke|Michigan|Arizona|Florida
3,Illinois,Alabama|UConn|Arizona|Illinois
4,South Fla.,South Fla.|Texas Tech|Auburn|Florida
5,Duke,Duke|Gonzaga|Iowa St.|Arkansas
6,Virginia,Indiana|Saint Mary's (CA)|Louisville|Virginia
7,Illinois,Duke|Ohio St.|Arizona|Illinois
8,Florida,Duke|UConn|Louisville|Florida
9,Illinois,Duke|Saint Mary's (CA)|Arizona|Illinois
10,Purdue,Purdue|Ohio St.|Tennessee|Illinois
11,Michigan,Houston|Michigan|Tennessee|Florida
12,Louisville,Wisconsin|Vanderbilt|Louisville|North Carolina
13,Illinois,Houston|Michigan|Iowa St.|Illinois
14,Illinois,Nebraska|Iowa|Belmont|Illinois
15,Houston,Houston|Michigan|Iowa St.|VCU
16,Louisville,Houston|Michigan|Louisville|McNeese
17,Houston,Houston|Texas Tech|Oklahoma|Illinois
18,Vanderbilt,Houston|Vanderbilt|Arizona|Illinois
19,Florida,SMU|Michigan|Arizona|Florida
20,Duke,Duke|Michigan|Iowa St.|Illinois
21,Texas Tech,Purdue|Texas Tech|Arizona|McNeese
22,Vanderbilt,Houston|Vanderbilt|Texas A&M|Miami (FL)
23,Michigan,South Fla.|Michigan|Michigan St.|Florida
24,Duke,Duke|Michigan|Iowa St.|Illinois
25,Illinois,South Fla.|Vanderbilt|Louisville|Illinois
26,McNeese,Duke|Vanderbilt|Tennessee|McNeese
27,Purdue,Purdue|Saint Mary's (CA)|Tennessee|Illinois
28,Iowa St.,Duke|Saint Mary's (CA)|Iowa St.|Illinois
29,Duke,Duke|Vanderbilt|Iowa St.|NC State
30,Iowa St.,Purdue|Iowa|Iowa St.|Virginia
31,Iowa St.,Houston|UConn|Iowa St.|Miami (OH)
32,Texas Tech,Duke|Texas Tech|Michigan St.|Illinois
33,Illinois,South Fla.|Vanderbilt|Arizona|Illinois
34,Michigan,Duke|Michigan|Virginia Tech|McNeese
35,McNeese,Nebraska|Michigan|Iowa St.|McNeese
36,Duke,Duke|Michigan|Louisville|St. John's (NY)
37,Saint Mary's (CA),Duke|Saint Mary's (CA)|Arizona|Virginia
38,Illinois,Duke|Ohio St.|Iowa St.|Illinois
39,Houston,Houston|Saint Mary's (CA)|Arizona|Miami (OH)
40,Purdue,Purdue|Michigan|Iowa St.|Virginia
41,Illinois,Nebraska|Texas Tech|Tennessee|Illinois
42,Michigan,Purdue|Michigan|Iowa St.|Illinois
43,Louisville,Houston|Michigan|Louisville|North Carolina
44,Florida,Houston|Texas Tech|Arizona|Florida
45,Duke,Duke|Michigan|Arizona|North Carolina
46,Florida,Alabama|Michigan|Tennessee|Florida
47,Florida,Purdue|Gonzaga|Michigan St.|Florida
48,Duke,Duke|Gonzaga|Arizona|Illinois
49,Duke,Duke|Texas Tech|Iowa St.|Virginia
50,NC State,Houston|Ohio St.|Tennessee|NC State
51,Virginia,Duke|Iowa|Tennessee|Virginia
52,Duke,Duke|Vanderbilt|Arizona|Florida
53,Iowa St.,Duke|Michigan|Iowa St.|Virginia
54,Florida,Duke|UConn|Iowa St.|Florida
55,Houston,Houston|Vanderbilt|Iowa St.|McNeese
56,Tennessee,Kansas|UConn|Tennessee|St. John's (NY)
57,Duke,Duke|Michigan|Arizona|Illinois
58,Illinois,Purdue|Michigan|Arizona|Illinois
59,Illinois,Wisconsin|Michigan|Iowa St.|Illinois
60,Florida,Duke|Gonzaga|Arizona|Florida
61,Iowa St.,Duke|Michigan|Iowa St.|Illinois
62,Duke,Duke|Ohio St.|Louisville|Cincinnati
63,Michigan,Duke|Michigan|Arizona|Florida
64,Texas Tech,Duke|Texas Tech|Arizona|McNeese
65,Houston,Houston|UConn|Iowa St.|Illinois
66,Vanderbilt,Houston|Vanderbilt|Arizona|Florida
67,Duke,Duke|Michigan|Michigan St.|Florida
68,Houston,Houston|UConn|Iowa St.|Miami (OH)
69,Purdue,Purdue|Michigan|Tennessee|Illinois
70,Michigan,Duke|Michigan|Arizona|Cincinnati
71,Duke,Duke|Michigan|Arizona|Illinois
72,Duke,Duke|UConn|Tennessee|Illinois
73,Arizona,Duke|Vanderbilt|Arizona|Virginia
74,Duke,Duke|Michigan|Villanova|McNeese
75,Illinois,Duke|Saint Mary's (CA)|Michigan St.|Illinois
76,Duke,Duke|Michigan|Iowa St.|Florida
77,Iowa St.,Duke|Michigan|Iowa St.|Arkansas
78,Houston,Houston|Gonzaga|Iowa St.|Illinois
79,Illinois,Kansas|UConn|Iowa St.|Illinois
80,Michigan,Kansas|Michigan|Texas A&M|Illinois
81,Iowa St.,Purdue|Michigan|Iowa St.|Arkansas
82,Duke,Duke|Iowa|Arizona|Florida
83,Duke,Duke|Michigan|Iowa St.|Cincinnati
84,Illinois,Houston|Michigan|Louisville|Illinois
85,Arizona,Houston|Vanderbilt|Arizona|Illinois
86,Michigan,Houston|Michigan|Louisville|Florida
87,Iowa St.,Duke|Texas Tech|Iowa St.|North Carolina
88,Houston,Houston|Iowa|Iowa St.|Santa Clara
89,Florida,Duke|Michigan|Arizona|Florida
90,NC State,Duke|Vanderbilt|Louisville|NC State
91,Houston,Houston|Iowa|Iowa St.|Cincinnati
92,McNeese,Duke|Michigan|Arizona|McNeese
93,Duke,Duke|UConn|Texas A&M|Illinois
94,Florida,Alabama|Michigan|Iowa St.|Florida
95,Ohio St.,Washington|Ohio St.|UCLA|Santa Clara
96,South Fla.,South Fla.|Michigan|Arizona|Arkansas
97,Duke,Duke|Michigan|Arizona|Illinois
98,Houston,Houston|Michigan|Arizona|Florida
99,Arizona,Duke|Ohio St.|Arizona|Florida
100,Michigan,Indiana|Michigan|Iowa St.|Illinois
101,Michigan,Purdue|Michigan|Tennessee|Illinois
102,Purdue,Purdue|Gonzaga|Iowa St.|Illinois
103,Houston,Houston|Michigan|Tennessee|Illinois
104,Louisville,Houston|Gonzaga|Louisville|Florida
105,Illinois,Purdue|Gonzaga|Iowa St.|Illinois
106,Arizona,Indiana|Saint Mary's (CA)|Arizona|McNeese
107,Arizona,Alabama|Vanderbilt|Arizona|Cincinnati
108,Arizona,Alabama|UConn|Arizona|St. John's (NY)
109,Iowa St.,Duke|Saint Mary's (CA)|Iowa St.|NC State
110,Iowa St.,Duke|UConn|Iowa St.|NC State
111,Texas Tech,Georgia|Texas Tech|Tennessee|Cincinnati
112,Houston,Houston|Gonzaga|Arizona|Illinois
113,South Fla.,South Fla.|Gonzaga|Auburn|Santa Clara
114,Illinois,Alabama|Vanderbilt|Arizona|Illinois
115,Arizona,South Fla.|UConn|Arizona|Illinois
116,Florida,Purdue|Texas Tech|Michigan St.|Florida
117,Purdue,Purdue|Vanderbilt|Auburn|Kentucky
118,Iowa St.,Duke|Texas|Iowa St.|Cincinnati
119,Illinois,Houston|UConn|Tennessee|Illinois
120,Vanderbilt,Saint Louis|Vanderbilt|Iowa St.|Illinois
121,Louisville,Purdue|Saint Mary's (CA)|Louisville|Illinois
122,Duke,Duke|Michigan|Tennessee|Illinois
123,Purdue,Purdue|Michigan|Louisville|Illinois
124,Arizona,Purdue|Michigan|Arizona|Florida
125,Houston,Houston|Gonzaga|Iowa St.|Florida
126,NC State,Houston|UConn|Auburn|NC State
127,Illinois,Purdue|Gonzaga|Tennessee|Illinois
128,Arizona,Houston|Texas|Arizona|St. John's (NY)
129,Florida,Duke|Gonzaga|Iowa St.|Florida
130,Iowa St.,Duke|Gonzaga|Iowa St.|Florida
131,Iowa St.,South Fla.|Michigan|Iowa St.|Arkansas
132,Michigan,Alabama|Michigan|Louisville|Illinois
133,Illinois,Purdue|Gonzaga|Auburn|Illinois
134,Iowa St.,Kansas|UConn|Iowa St.|Virginia
135,Michigan,Georgia|Michigan|Iowa St.|Illinois
136,Duke,Duke|Iowa|Arizona|Virginia
137,Duke,Duke|Michigan|Michigan St.|Florida
138,Duke,Duke|Michigan|Iowa St.|Illinois
139,McNeese,Purdue|UConn|Arizona|McNeese
140,St. John's (NY),Duke|Gonzaga|Tennessee|St. John's (NY)
141,Florida,Duke|Michigan|Iowa St.|Florida
142,Florida,Duke|Michigan|Michigan St.|Florida
143,South Fla.,South Fla.|Iowa|Louisville|Santa Clara
144,Duke,Duke|UConn|Tennessee|McNeese
145,Duke,Duke|Texas Tech|Arizona|Florida
146,Arizona,Alabama|Iowa|Arizona|Illinois
147,Louisville,San Diego St.|Texas Tech|Louisville|McNeese
148,Iowa St.,Houston|Saint Mary's (CA)|Iowa St.|Kentucky
149,Houston,Houston|Texas Tech|Iowa St.|McNeese
150,Purdue,Purdue|UConn|Louisville|Florida
151,Duke,Duke|Texas Tech|Arizona|Florida
152,NC State,Purdue|Saint Mary's (CA)|Louisville|NC State
153,Kansas,Kansas|Gonzaga|Iowa St.|Florida
154,Houston,Houston|Texas Tech|Iowa St.|Miami (OH)
155,Florida,SMU|Michigan|Iowa St.|Florida
156,Illinois,Duke|Michigan|Iowa St.|Illinois
157,Michigan,Houston|Michigan|Arizona|Florida
158,Arizona,Duke|Iowa|Arizona|Cincinnati
159,Illinois,Houston|Michigan|Tennessee|Illinois
160,Purdue,Purdue|Vanderbilt|Arizona|Arkansas
161,Florida,Purdue|UConn|Arizona|Florida
162,Iowa St.,Purdue|Michigan|Iowa St.|NC State
163,Florida,Houston|Saint Mary's (CA)|Auburn|Florida
164,Michigan,Houston|Michigan|Tennessee|Virginia
165,Saint Mary's (CA),Duke|Saint Mary's (CA)|Iowa St.|Florida
166,Virginia,Purdue|Vanderbilt|Louisville|Virginia
167,South Fla.,South Fla.|UConn|Iowa St.|McNeese
168,Duke,Duke|Clemson|Michigan St.|Kentucky
169,Iowa St.,Purdue|Vanderbilt|Iowa St.|Santa Clara
170,Illinois,Indiana|Texas Tech|Michigan St.|Illinois
171,Michigan,Alabama|Michigan|Arizona|Florida
172,South Fla.,South Fla.|Michigan|Tennessee|Illinois
173,Iowa,Houston|Iowa|Iowa St.|Virginia
174,Texas Tech,Houston|Texas Tech|Michigan St.|Kentucky
175,Illinois,Purdue|Texas Tech|Arizona|Illinois
176,Indiana,Indiana|Michigan|Arizona|Cincinnati
177,Vanderbilt,Alabama|Vanderbilt|Iowa St.|Virginia
178,Houston,Houston|Gonzaga|Tennessee|NC State
179,Duke,Duke|Michigan|Iowa St.|NC State
180,Duke,Duke|Iowa|Arizona|Virginia
181,Florida,Houston|Clemson|Iowa St.|Florida
182,Illinois,Houston|Michigan|Tennessee|Illinois
183,Houston,Houston|Michigan|Iowa St.|St. John's (NY)
184,Michigan,Purdue|Michigan|Arizona|Illinois
185,Iowa St.,Houston|Iowa|Iowa St.|Virginia
186,Purdue,Purdue|Tulsa|Louisville|NC State
187,Iowa St.,Houston|Gonzaga|Iowa St.|Virginia
188,Florida,Houston|Michigan|Michigan St.|Florida
189,Duke,Duke|Iowa|Iowa St.|Florida
190,Illinois,Duke|Michigan|Tennessee|Illinois
191,South Fla.,South Fla.|Michigan|Iowa St.|Florida
192,Iowa,Duke|Iowa|Iowa St.|St. John's (NY)
193,Iowa St.,Houston|Ohio St.|Iowa St.|Virginia
194,Michigan,SMU|Michigan|Tennessee|Virginia
195,Duke,Duke|Michigan|Iowa St.|Illinois
196,Florida,Saint Louis|Saint Mary's (CA)|Iowa St.|Florida
197,Duke,Duke|Saint Mary's (CA)|Iowa St.|Virginia
198,Houston,Houston|UConn|Arizona|Florida
199,Duke,Duke|Michigan|Arizona|Illinois
200,Michigan,Duke|Michigan|Arizona|St. John's (NY)
201,Gonzaga,Purdue|Gonzaga|Louisville|Florida
202,St. John's (NY),Purdue|Gonzaga|Tennessee|St. John's (NY)
203,Cincinnati,Duke|Iowa|Arizona|Cincinnati
204,South Fla.,South Fla.|Saint Mary's (CA)|Arizona|NC State
205,Iowa St.,Indiana|Texas Tech|Iowa St.|Cincinnati
206,Kentucky,Houston|Michigan|Iowa St.|Kentucky
207,Florida,Duke|Michigan|Iowa St.|Florida
208,Houston,Houston|Vanderbilt|Louisville|Florida
209,Iowa St.,Houston|Iowa|Iowa St.|McNeese
210,Iowa St.,Alabama|Saint Mary's (CA)|Iowa St.|Virginia
211,UConn,Saint Louis|UConn|Michigan St.|Kentucky
212,Ohio St.,Duke|Ohio St.|Arizona|Florida
213,Saint Mary's (CA),Purdue|Saint Mary's (CA)|Louisville|Illinois
214,South Fla.,South Fla.|Texas Tech|Arizona|Virginia
215,Iowa St.,Houston|Vanderbilt|Iowa St.|Florida
216,Illinois,Houston|Ohio St.|Louisville|Illinois
217,Arizona,Alabama|Saint Mary's (CA)|Arizona|Illinois
218,Michigan,Nebraska|Michigan|Arizona|McNeese
219,Illinois,Purdue|Ohio St.|Michigan St.|Illinois
220,Texas Tech,Wisconsin|Texas Tech|Louisville|McNeese
221,Florida,Nebraska|Iowa|Michigan St.|Florida
222,Vanderbilt,Houston|Vanderbilt|Iowa St.|Arkansas
223,Michigan,Duke|Michigan|Iowa St.|Arkansas
224,Duke,Duke|Texas Tech|Arizona|Illinois
225,Cincinnati,SMU|Gonzaga|Louisville|Cincinnati
226,Arizona,Houston|Gonzaga|Arizona|Virginia
227,NC State,Duke|Vanderbilt|Arizona|NC State
228,Houston,Houston|Saint Mary's (CA)|Iowa St.|Virginia
229,Vanderbilt,Duke|Vanderbilt|Tennessee|Florida
230,Houston,Houston|Michigan|Michigan St.|Miami (FL)
231,Michigan,Nebraska|Michigan|Louisville|Florida
232,Houston,Houston|UConn|Iowa St.|Florida
233,Florida,Duke|Saint Mary's (CA)|Iowa St.|Florida
234,Iowa St.,Purdue|UConn|Iowa St.|Arkansas
235,Alabama,Alabama|Saint Mary's (CA)|Arizona|Florida
236,Iowa St.,Saint Louis|Texas Tech|Iowa St.|North Carolina
237,Duke,Duke|Texas Tech|Michigan St.|Illinois
238,Illinois,Duke|Gonzaga|Tennessee|Illinois
239,Michigan,Purdue|Michigan|Iowa St.|Florida
240,Illinois,Purdue|Saint Mary's (CA)|Arizona|Illinois
241,Cincinnati,Duke|UConn|Iowa St.|Cincinnati
242,Illinois,Duke|Iowa|Arizona|Illinois
243,Duke,Duke|UConn|Louisville|Florida
244,Ohio St.,Purdue|Ohio St.|Tennessee|Kentucky
245,Duke,Duke|Seton Hall|Louisville|Arkansas
246,Houston,Houston|Gonzaga|Arizona|Florida
247,Arizona,Houston|Ohio St.|Arizona|Illinois
248,Florida,South Fla.|Vanderbilt|Louisville|Florida
249,Texas Tech,Washington|Texas Tech|Tennessee|McNeese
250,Duke,Duke|Vanderbilt|Louisville|Miami (FL)
251,Florida,Houston|Michigan|Louisville|Florida
252,Arkansas,South Fla.|Texas Tech|UCLA|Arkansas
253,Duke,Duke|Michigan|Tennessee|Virginia
254,Duke,Duke|Iowa|Iowa St.|NC State
255,UConn,Nebraska|UConn|Utah St.|Virginia
256,Saint Mary's (CA),Houston|Saint Mary's (CA)|Louisville|Santa Clara
257,Duke,Duke|Vanderbilt|UCLA|Miami (FL)
258,Illinois,Purdue|Vanderbilt|Arizona|Illinois
259,Duke,Duke|Vanderbilt|Louisville|Arkansas
260,Michigan,Nebraska|Michigan|Iowa St.|St. John's (NY)
261,Iowa St.,Purdue|Ohio St.|Iowa St.|Arkansas
262,Florida,Houston|Vanderbilt|Tennessee|Florida
263,Kansas,Kansas|UConn|Arizona|NC State
264,Iowa St.,Houston|UConn|Iowa St.|Virginia
265,Iowa St.,Houston|Saint Mary's (CA)|Iowa St.|Kentucky
266,Arizona,SMU|Ohio St.|Arizona|Arkansas
267,Nebraska,Nebraska|Saint Mary's (CA)|UCLA|NC State
268,Illinois,Houston|UConn|Louisville|Illinois
269,Houston,Houston|Vanderbilt|Arizona|Illinois
270,Michigan,Duke|Michigan|Tennessee|NC State
271,Tennessee,Duke|Gonzaga|Tennessee|North Carolina
272,Michigan,Purdue|Michigan|Michigan St.|Virginia
273,Purdue,Purdue|UConn|Arizona|Miami (FL)
274,Michigan,Houston|Michigan|Iowa St.|Arkansas
275,Iowa St.,Alabama|Saint Mary's (CA)|Iowa St.|Arkansas
276,Saint Mary's (CA),Purdue|Saint Mary's (CA)|Arizona|Florida
277,Houston,Houston|Michigan|Arizona|McNeese
278,Illinois,Houston|Michigan|Tennessee|Illinois
279,Illinois,Houston|Iowa|Arizona|Illinois
280,Michigan,Duke|Michigan|Iowa St.|St. John's (NY)
281,Iowa St.,Kansas|UConn|Iowa St.|Virginia
282,Duke,Duke|Iowa|Iowa St.|Illinois
283,Duke,Duke|Michigan|Iowa St.|Illinois
284,Illinois,Purdue|UConn|UCLA|Illinois
285,Florida,San Diego St.|Texas Tech|Iowa St.|Florida
286,Illinois,Duke|Ohio St.|Michigan St.|Illinois
287,Duke,Duke|Michigan|Iowa St.|Illinois
288,Arizona,SMU|Iowa|Arizona|Arkansas
289,Michigan,Wisconsin|Michigan|Louisville|Florida
290,Houston,Houston|Michigan|Tennessee|Florida
291,Arizona,Houston|Michigan|Arizona|NC State
292,Illinois,Houston|Michigan|Texas A&M|Illinois
293,Duke,Duke|UConn|Louisville|Illinois
294,Illinois,Nebraska|Texas Tech|Arizona|Illinois
295,Michigan St.,Duke|Gonzaga|Michigan St.|Santa Clara
296,Michigan,Purdue|Michigan|Arizona|Florida
297,Arizona,Purdue|UConn|Arizona|Florida
298,Purdue,Purdue|Ohio St.|Michigan St.|Illinois
299,Texas Tech,Duke|Texas Tech|Iowa St.|Virginia
300,Louisville,Houston|Michigan|Louisville|Kentucky
301,Michigan,Indiana|Michigan|Iowa St.|Illinois
302,Illinois,SMU|Texas Tech|Louisville|Illinois
303,Florida,Duke|Texas Tech|Iowa St.|Florida
304,Michigan,Purdue|Michigan|Louisville|St. John's (NY)
305,Arizona,Alabama|Gonzaga|Arizona|Cincinnati
306,Illinois,Duke|Ohio St.|Iowa St.|Illinois
307,Virginia,Duke|Gonzaga|Michigan St.|Virginia
308,Duke,Duke|Texas Tech|Iowa St.|Arkansas
309,Florida,Nebraska|Texas Tech|Michigan St.|Florida
310,South Fla.,South Fla.|Texas Tech|Iowa St.|Florida
311,Iowa St.,Wisconsin|Gonzaga|Iowa St.|Virginia
312,NC State,Duke|Michigan|UCLA|NC State
313,NC State,Houston|Michigan|Iowa St.|NC State
314,Illinois,Nebraska|UConn|West Virginia|Illinois
315,Illinois,Houston|Ohio St.|Tennessee|Illinois
316,Iowa St.,Washington|Texas Tech|Iowa St.|Arkansas
317,Houston,Houston|UConn|Tennessee|Cincinnati
318,Arizona,Alabama|Ohio St.|Arizona|Florida
319,Arizona,Duke|Texas Tech|Arizona|St. John's (NY)
320,Houston,Houston|Texas Tech|Louisville|Illinois
321,Houston,Houston|Vanderbilt|Michigan St.|Illinois
322,Michigan,Purdue|Michigan|Louisville|Illinois
323,Texas Tech,Alabama|Texas Tech|Michigan St.|Illinois
324,Illinois,Wisconsin|Gonzaga|Iowa St.|Illinois
325,Houston,Houston|Michigan|Utah St.|Arkansas
326,Florida,Duke|UConn|Arizona|Florida
327,Houston,Houston|Michigan|Arizona|NC State
328,Houston,Houston|UConn|Michigan St.|NC State
329,Houston,Houston|Saint Mary's (CA)|Louisville|Illinois
330,Houston,Houston|Gonzaga|Arizona|Cincinnati
331,Duke,Duke|UConn|Iowa St.|Florida
332,Illinois,Purdue|Vanderbilt|Arizona|Illinois
333,Florida,Kansas|Ohio St.|BYU|Florida
334,Iowa St.,Houston|Michigan|Iowa St.|Florida
335,Arizona,Purdue|Iowa|Arizona|NC State
336,Kansas,Kansas|UConn|Louisville|Florida
337,Purdue,Purdue|Saint Mary's (CA)|Virginia Tech|Illinois
338,Iowa St.,Houston|Michigan|Iowa St.|Kentucky
339,Illinois,Houston|UConn|Iowa St.|Illinois
340,Purdue,Purdue|Vanderbilt|Arizona|Florida
341,Duke,Duke|UConn|Michigan St.|Florida
342,Illinois,South Fla.|Ohio St.|Tennessee|Illinois
343,Florida,Purdue|Iowa|Michigan St.|Florida
344,Louisville,Houston|Saint Mary's (CA)|Louisville|Illinois
345,Illinois,Duke|Ohio St.|Arizona|Illinois
346,Purdue,Purdue|Michigan|Iowa St.|Cincinnati
347,Florida,Akron|Michigan|Tennessee|Florida
348,Duke,Duke|Michigan|Tennessee|Illinois
349,St. John's (NY),Duke|Michigan|Arizona|St. John's (NY)
350,Purdue,Purdue|Gonzaga|Iowa St.|Florida
351,Georgia,Georgia|Iowa|Tennessee|Illinois
352,Arizona,Houston|UConn|Arizona|Illinois
353,Houston,Houston|Michigan|Iowa St.|Illinois
354,Houston,Houston|Ohio St.|Iowa St.|Virginia
355,Illinois,Houston|Michigan|Iowa St.|Illinois
356,Florida,Houston|Texas Tech|Arizona|Florida
357,Iowa St.,Indiana|Michigan|Iowa St.|Santa Clara
358,Illinois,Kansas|Iowa|Iowa St.|Illinois
359,Florida,Houston|Texas Tech|Michigan St.|Florida
360,Florida,Duke|Michigan|Iowa St.|Florida
361,Iowa St.,Purdue|Ohio St.|Iowa St.|NC State
362,Florida,Houston|Michigan|Iowa St.|Florida
363,Michigan St.,South Fla.|Michigan|Michigan St.|Florida
364,Tennessee,Duke|New Mexico|Tennessee|Miami (FL)
365,Michigan,Houston|Michigan|Louisville|St. John's (NY)
366,Michigan St.,Duke|Michigan|Michigan St.|Arkansas
367,Iowa St.,South Fla.|Texas Tech|Iowa St.|Illinois
368,Florida,Indiana|Vanderbilt|Texas A&M|Florida
369,Florida,Houston|UConn|Iowa St.|Florida
370,Duke,Duke|Gonzaga|Virginia Tech|NC State
371,Michigan,Houston|Michigan|Michigan St.|North Carolina
372,Houston,Houston|UConn|Arizona|Arkansas
373,Iowa St.,Duke|UConn|Iowa St.|St. John's (NY)
374,Houston,Houston|Michigan|Louisville|Cincinnati
375,Purdue,Purdue|Iowa|Iowa St.|McNeese
376,Cincinnati,Purdue|Seton Hall|Michigan St.|Cincinnati
377,Saint Mary's (CA),Purdue|Saint Mary's (CA)|Iowa St.|Florida
378,St. John's (NY),Duke|Gonzaga|Iowa St.|St. John's (NY)
379,Duke,Duke|Gonzaga|Michigan St.|McNeese
380,Duke,Duke|Vanderbilt|Iowa St.|Arkansas
381,Florida,Nebraska|UConn|Arizona|Florida
382,Houston,Houston|UConn|Tennessee|St. John's (NY)
383,Houston,Houston|Saint Mary's (CA)|Arizona|Santa Clara
384,Illinois,Wisconsin|Michigan|Iowa St.|Illinois
385,Texas Tech,Houston|Texas Tech|Michigan St.|Virginia
386,Florida,Houston|Iowa|Auburn|Florida
387,Iowa St.,Kansas|Texas Tech|Iowa St.|Florida
388,Illinois,Indiana|UConn|Iowa St.|Illinois
389,Tennessee,South Fla.|Saint Mary's (CA)|Tennessee|Virginia
390,NC State,Duke|Vanderbilt|Iowa St.|NC State
391,Kansas,Kansas|Vanderbilt|Michigan St.|Cincinnati
392,Arizona,Purdue|Vanderbilt|Arizona|Florida
393,Texas Tech,Saint Louis|Texas Tech|Arizona|NC State
394,North Carolina,Duke|Gonzaga|Arizona|North Carolina
395,Purdue,Purdue|Michigan|Louisville|Miami (FL)
396,Purdue,Purdue|Vanderbilt|Louisville|Virginia
397,Houston,Houston|Vanderbilt|Michigan St.|Arkansas
398,McNeese,Duke|Michigan|Arizona|McNeese
399,UConn,Duke|UConn|Arizona|Illinois
400,UCLA,Georgia|Michigan|UCLA|Santa Clara
401,Florida,Wisconsin|Texas Tech|Louisville|Florida
402,Florida,Houston|Saint Mary's (CA)|Iowa St.|Florida
403,Houston,Houston|Texas Tech|Iowa St.|St. John's (NY)
404,Michigan,Indiana|Michigan|Arizona|Illinois
405,Florida,Duke|Michigan|Tennessee|Florida
406,St. John's (NY),Purdue|UConn|UCLA|St. John's (NY)
407,Houston,Houston|Texas Tech|Iowa St.|Virginia
408,Tennessee,Duke|Vanderbilt|Tennessee|Miami (FL)
409,NC State,South Fla.|Vanderbilt|UCLA|NC State
410,Arizona,Houston|Gonzaga|Arizona|VCU
411,Iowa St.,Duke|Michigan|Iowa St.|Illinois
412,Duke,Duke|Texas|Arizona|Illinois
413,Arizona,Houston|Gonzaga|Arizona|Florida
414,Houston,Houston|Gonzaga|Michigan St.|St. John's (NY)
415,Iowa St.,South Fla.|Gonzaga|Iowa St.|Virginia
416,Michigan,Duke|Michigan|Arizona|Illinois
417,Illinois,South Fla.|UConn|Iowa St.|Illinois
418,Illinois,Duke|Michigan|Iowa St.|Illinois
419,Arizona,Duke|Iowa|Arizona|VCU
420,Illinois,Houston|Texas Tech|Arizona|Illinois
421,Texas A&M,Houston|Gonzaga|Texas A&M|Arkansas
422,Florida,Alabama|Michigan|Arizona|Florida
423,Iowa St.,Wisconsin|Ohio St.|Iowa St.|Illinois
424,Iowa St.,Purdue|UConn|Iowa St.|Illinois
425,Arizona,Duke|Michigan|Arizona|Florida
426,Duke,Duke|Iowa|Michigan St.|Florida
427,Iowa St.,Saint Louis|Texas Tech|Iowa St.|Illinois
428,Kentucky,Houston|Iowa|Arizona|Kentucky
429,Michigan St.,South Fla.|Michigan|Michigan St.|Santa Clara
430,Illinois,Nebraska|Texas Tech|Michigan St.|Illinois
431,Michigan,Houston|Michigan|Iowa St.|Illinois
432,Duke,Duke|Michigan|Auburn|Florida
433,Illinois,Duke|Michigan|Iowa St.|Illinois
434,Vanderbilt,Indiana|Vanderbilt|Michigan St.|Arkansas
435,Duke,Duke|Ohio St.|Michigan St.|Kentucky
436,Illinois,Alabama|Michigan|Auburn|Illinois
437,Iowa St.,Purdue|Texas Tech|Iowa St.|Illinois
438,Michigan,Saint Louis|Michigan|Arizona|Illinois
439,Iowa St.,Houston|Iowa|Iowa St.|Illinois
440,Houston,Houston|UConn|Louisville|McNeese
441,Iowa St.,Alabama|Michigan|Iowa St.|Arkansas
442,Michigan,Duke|Michigan|Arizona|Arkansas
443,Iowa St.,SMU|Michigan|Iowa St.|Florida
444,UConn,Alabama|UConn|Iowa St.|Arkansas
445,Houston,Houston|UConn|Iowa St.|Florida
446,Texas Tech,Georgia|Texas Tech|Arizona|Illinois
447,Illinois,Duke|Iowa|Arizona|Illinois
448,Wisconsin,Wisconsin|Vanderbilt|Belmont|NC State
449,Arizona,Georgia|UConn|Arizona|NC State
450,Michigan,Purdue|Michigan|Iowa St.|Illinois
451,Purdue,Purdue|Iowa|Tennessee|Kentucky
452,Houston,Houston|UConn|Michigan St.|Florida
453,Tennessee,SMU|Texas Tech|Tennessee|Florida
454,Arizona,South Fla.|Michigan|Arizona|Illinois
455,Houston,Houston|UConn|Iowa St.|Florida
456,Iowa St.,Duke|Michigan|Iowa St.|Florida
457,Arizona,Purdue|Vanderbilt|Arizona|Arkansas
458,Nebraska,Nebraska|UConn|Arizona|NC State
459,Purdue,Purdue|Michigan|Arizona|Santa Clara
460,Florida,Duke|UConn|Tennessee|Florida
461,Florida,Duke|Iowa|Tennessee|Florida
462,St. John's (NY),Nebraska|Vanderbilt|Auburn|St. John's (NY)
463,McNeese,Kansas|Michigan|Louisville|McNeese
464,UCLA,Duke|UConn|UCLA|Florida
465,St. John's (NY),Duke|UConn|Arizona|St. John's (NY)
466,Duke,Duke|Vanderbilt|Michigan St.|Illinois
467,Florida,Purdue|Gonzaga|Arizona|Florida
468,Illinois,Georgia|Saint Mary's (CA)|Iowa St.|Illinois
469,Purdue,Purdue|Gonzaga|Tennessee|Florida
470,Illinois,Purdue|Michigan|Iowa St.|Illinois
471,Vanderbilt,Indiana|Vanderbilt|Tennessee|Florida
472,Arizona,Wisconsin|Iowa|Arizona|Illinois
473,Houston,Houston|Iowa|Utah St.|Illinois
474,Florida,SMU|Gonzaga|BYU|Florida
475,Duke,Duke|Iowa|Iowa St.|Illinois
476,Purdue,Purdue|Michigan|Louisville|North Carolina
477,Michigan,Georgia|Michigan|Michigan St.|St. John's (NY)
