team_a,team_b,elastic_net_platt,elastic_net_isotonic,elastic_net_beta,elastic_net_venn_abers,gp_platt,gp_isotonic,gp_beta,gp_venn_abers,lightgbm_platt,lightgbm_isotonic,lightgbm_beta,lightgbm_venn_abers,xgboost_platt,xgboost_isotonic,xgboost_beta,xgboost_venn_abers
Duke,Michigan,0.49653933205824086,0.5,0.5073932798508844,0.5,0.5036557725402898,0.5,0.5047969804773653,0.5,0.47890403753861,0.4166666666666667,0.4697301062292741,0.4166666666666667,0.4513707901021871,0.5135135135135135,0.43533520311028473,0.5135135135135135
Duke,Arizona,0.5376908276542481,0.5454545454545454,0.5605837987615182,0.5454545454545454,0.5355135210702409,0.625,0.5466218179457942,0.625,0.5866031495374769,0.6808510638297872,0.602665432227478,0.6808510638297872,0.4675702441291158,0.5135135135135135,0.4559277842351829,0.5135135135135135
Duke,Florida,0.5736069039020533,0.7083333333333334,0.6057351411872091,0.7083333333333334,0.5732399817780875,0.631578947368421,0.596438411136534,0.631578947368421,0.3224954830403335,0.34210526315789475,0.2744744703355417,0.34210526315789475,0.34732845197756357,0.3076923076923077,0.3009447023883298,0.3076923076923077
Duke,Houston,0.5926191115426257,0.7083333333333334,0.6292889617200876,0.7083333333333334,0.5805076378964477,0.631578947368421,0.6060956726265577,0.631578947368421,0.5689193708337232,0.56,0.5802651017193592,0.56,0.5613848440281787,0.5135135135135135,0.5759114546144448,0.5135135135135135
Duke,Gonzaga,0.7081910233831392,0.7727272727272727,0.7717389442511179,0.7727272727272727,0.6950255295096305,0.8181818181818182,0.7631502212081128,0.8181818181818182,0.6177171241314796,0.6808510638297872,0.6430064551689685,0.6808510638297872,0.7186306122602074,0.8529411764705882,0.7912023136133239,0.8529411764705882
Duke,Iowa St.,0.6279811794578605,0.7083333333333334,0.6727163503843819,0.7083333333333334,0.6152356987189812,0.631578947368421,0.6526301609684702,0.631578947368421,0.6116779125715508,0.6808510638297872,0.6350705033952284,0.6808510638297872,0.6835902379348474,0.717948717948718,0.7406728141205845,0.717948717948718
Duke,Illinois,0.617596734126352,0.7083333333333334,0.659996527643771,0.7083333333333334,0.6218436797491018,0.631578947368421,0.6615710582734096,0.631578947368421,0.65612022964251,0.6808510638297872,0.6949312318581972,0.6808510638297872,0.6181256631243301,0.7142857142857143,0.650606016663328,0.7142857142857143
Duke,Purdue,0.6510124388129318,0.7727272727272727,0.700909935929087,0.7727272727272727,0.6574575338294979,0.8181818181818182,0.7103567624536195,0.8181818181818182,0.55593210718324,0.56,0.5640102244907054,0.56,0.6006617623316299,0.7142857142857143,0.6273466478493557,0.7142857142857143
Duke,UConn,0.6847696646666809,0.7727272727272727,0.7424647349912175,0.7727272727272727,0.674783485844203,0.8181818181818182,0.7345148338297034,0.8181818181818182,0.739743419881514,0.8443314663193465,0.8204502169265971,0.8443314663193465,0.7814509103645118,0.962904006538175,0.8865133076402173,0.962904006538175
Duke,Michigan St.,0.706016921249506,0.7727272727272727,0.7689981106169808,0.7727272727272727,0.70093011652607,0.8181818181818182,0.7715935823611384,0.8181818181818182,0.743493487120024,0.9000749210351403,0.8266242439293479,0.9000749210351403,0.7701754409149459,0.8529411764705882,0.8689806869065926,0.8529411764705882
Duke,Virginia,0.7115078343775968,0.7727272727272727,0.775931479141812,0.7727272727272727,0.7019808140523669,0.8181818181818182,0.7731005210533207,0.8181818181818182,0.7486370893053726,0.9047619047619048,0.8351870326422483,0.9047619047619048,0.7844278642091728,0.97,0.8911667197555768,0.97
Duke,Nebraska,0.7316203115701655,0.8571428571428571,0.8016969534438517,0.8571428571428571,0.7173756049867044,0.8181818181818182,0.7953403259340682,0.8181818181818182,0.6860506253708756,0.6808510638297872,0.7375452746636736,0.6808510638297872,0.7688915641392147,0.8529411764705882,0.8669946286928004,0.8529411764705882
Duke,Vanderbilt,0.6980078815211173,0.7727272727272727,0.7589466790314133,0.7727272727272727,0.7008285621768661,0.8181818181818182,0.7714480026955529,0.8181818181818182,0.710361559964382,0.7333333333333333,0.7739117776633438,0.7333333333333333,0.7267262438614467,0.8529411764705882,0.8031423092447038,0.8529411764705882
Duke,Louisville,0.7252993588434425,0.8571428571428571,0.7935286177232536,0.8571428571428571,0.7248663330975845,0.8181818181818182,0.8062734742716859,0.8181818181818182,0.7270135870166232,0.8,0.7999035260103425,0.8,0.7835463458622046,0.97,0.8897878289441886,0.97
