year,favorite,underdog,adjoe_diff,adjde_diff,barthag_diff,sos_diff,wab_diff,adjt_diff,adjoe_ratio,adjde_ratio,barthag_ratio,sos_ratio,wab_ratio,adjt_ratio,favorite_win_flag
2014,Texas,Arizona State,2.066242110299882,0.2678854808059725,0.02508460567169324,0.03132694053165486,2.438379959483714,-0.6184827807185087,1.0186381983287878,1.0027578970390882,1.030568901200001,1.0468219677311525,3.008971452957473,0.9908098788907245,1
2013,Illinois,Colorado,4.755963637262084,2.5515787896474365,0.02347659312860728,0.014805314553186455,0.9585068534557339,0.5512670729363407,1.0448342973010936,1.0278270381865484,1.0278692037268569,1.0207216604628344,1.6747371458366378,1.008587716649782,1
2011,Cincinnati,Missouri,-2.278218219917804,-5.646064271760025,0.05078091245979666,-0.015581571138314376,1.9073128270318254,-7.7128107752188555,0.9799656971565774,0.9425567415242362,1.0602766075839383,0.9757887395638097,2.4478453272019527,0.8904691069768861,1
2012,Cincinnati,Florida State,2.4623796310310837,2.689717077688684,-0.00795149499746306,-0.03493839154804035,-1.2832263887163378,-3.2677590964378425,1.022747851156503,1.02982620391872,0.9910736822151245,0.9492828835303343,0.6996147439977314,0.9508389814391524,1
2011,Arizona,Connecticut,2.9078919320205614,4.388254092277663,-0.019656047811993704,-0.05808387215123556,-2.1414138624827492,0.673698537336378,1.0251149027455828,1.04687400969798,0.978636039540292,0.9214429128461237,0.6834704921344334,1.0104956262092302,0
2013,La Salle,Boise State,0.03921556821052263,-1.074845286055222,0.017784304271086793,0.0007976675869929561,0.5835338796876303,-0.21428456513368133,1.0003464261936839,0.9891205917337705,1.02150216294795,1.001238267818446,-4.296775715944,0.9966974131492823,1
2014,Tennessee,Iowa,-2.9947988934410716,-5.917704907498859,0.029948073612258486,0.017877305647555186,-0.7908729717595602,-7.804566142102274,0.9753908042996484,0.9407924494284342,1.0330599872824517,1.0265496906831675,0.3407323795924657,0.8867461481293548,1
2011,Xavier,Marquette,-3.2061862387996314,-0.5200048061490179,-0.033251121909809944,-0.07537952595614206,1.8103646102247022,-1.681087046126251,0.9721644591085268,0.994683094524353,0.9616796518066278,0.892125325525103,4.052860931065496,0.974583740669014,0
2013,Michigan,Syracuse,8.729729891160275,6.808360172297043,-0.000153956489531204,0.015729959152312567,1.0641062415441365,-0.560912182819294,1.0766825976565002,1.0769744372257308,0.9998365378330483,1.0223167879955168,1.2076550406797533,0.9912379810609677,1
2014,Oklahoma State,Gonzaga,1.9094056820881207,1.5812830419215942,-0.00011404314653351566,0.060662905283284,-2.66250817246161,2.737751092966789,1.0167132660751035,1.0168299449774871,0.9998728120480445,1.0960662930101672,0.3418494930032969,1.0424308803137226,0
2012,Xavier,Notre Dame,-1.708945568762445,-0.889442281214258,-0.012513164541277044,0.02526292193931745,-1.5228627500312208,5.555126281032052,0.9844524350899585,0.9908972926799119,0.98425334468645,1.0383004355201948,0.3141136269108545,1.0912100968948737,1
2014,Albany,Mount St. Mary's,-4.27230421666485,-7.917652018913401,0.09397643198850975,-0.016411667232793414,0.8328746942620331,-6.738645829687705,0.9603639055105088,0.9290554338699278,1.2341697823276956,0.9600978106866194,0.910995374070839,0.9008137505717848,1
2012,Iona,Brigham Young,9.80672439046917,9.800855257642255,-0.020111376268693526,-0.048269745591047686,-0.221282889635268,-1.8287463191340407,1.093489398195241,1.1044149728513417,0.9742840368128273,0.9107746303003906,0.4674873172682545,0.9745334760462837,0
2012,Florida,Marquette,10.537478363413115,5.78533957153364,0.027240602511697132,-0.02931188444080024,-3.0276090294393803,-5.53087821580678,1.0947281878283492,1.0628287640522776,1.030338403302826,0.9578849614217858,0.5016877031110477,0.9209572819458587,1
2011,North Carolina,Kentucky,-6.619722112776998,-2.696269778339172,-0.01957278981379007,0.030329274217478108,2.118297446947988,5.531352087354435,0.9445156480043052,0.9711212328159134,0.9792591438344773,1.042594525998455,1.4099726377608117,1.0853139745031237,0
2012,North Carolina,Kansas,2.3308568827651044,1.9400880810590024,-0.0008177225763386087,-0.0492985059052522,0.13338642269335743,5.148956826694359,1.0204231057450726,1.0218949034425389,0.9991367015102168,0.931854861615579,1.0162360356795763,1.0776005908050807,0
2011,USC,Virginia Commonwealth,-4.755882915145335,-6.238404606376761,0.0365102807504597,0.07775170114332763,0.21570681542653336,-3.308832957043812,0.9577741938567591,0.9375331262622569,1.0456664613702007,1.1270246773636154,0.8882266788450092,0.9491856422630375,0
2012,Alabama,Creighton,-13.868601489344968,-13.960382678777947,0.03080018908791493,0.09361766113973968,-3.2086842950420498,-4.270128098140894,0.883843777684996,0.8653393823882416,1.0368693643138176,1.1568915376278477,0.32671824781624015,0.9353610096426669,0
2013,North Carolina A&T,Liberty,-9.558324113146256,-13.86056877363923,0.0853593522041961,-0.013199681601832103,4.066486185810467,1.1369608210871576,0.905917128846419,0.8749477510470303,1.3177148046902232,0.9640344817976405,0.7348540732543986,1.017659993862503,1
2012,Lamar,Vermont,2.1322801055025593,2.311592120296922,-0.006937172058160912,0.025673185317819036,1.157449671857056,3.9680269190960473,1.020526177310767,1.0230996125570024,0.9885474051179033,1.0656347682322636,0.7839978826650116,1.0637469640358188,0
2011,Florida State,Texas A&M,-5.1024595272308915,-7.994155995285169,0.05993446139733549,0.025266240895162384,-1.2952976498053346,6.3888567989694565,0.9531096177188003,0.916717231492665,1.0740967920681412,1.0402062639067535,0.46173814383083245,1.1042505707437797,1
2013,Marquette,Butler,3.654823418021607,0.13737311302487853,0.03890153606655311,0.02952819429672493,-0.3362153237286307,-0.040640081060274724,1.0331175408614377,1.0014529036565198,1.045473602695887,1.0434124406795549,0.9299238192238539,0.9993580397794402,1
2011,Butler,Virginia Commonwealth,-0.4290949289735977,-3.9013488537303687,0.058354662176459904,0.02308086092513184,1.5534994914887548,-1.8473901438389078,0.9961902094674783,0.9609347092676008,1.0729898043679618,1.0377065652720943,0.195016205475898,0.97162928219372,1
2012,New Mexico,Louisville,5.0973356266272845,5.238977924139732,-0.011685516844925137,-0.14567973271142565,-2.598157257143755,-0.4073182785297291,1.0482375611208636,1.0606401504013416,0.9871606764012986,0.7985966308456048,0.5289052722921856,0.993816093939711,0
2012,Syracuse,Wisconsin,3.530913758533657,2.5853803846085697,0.0015599334339000404,0.01631987790443834,5.992907007312397,7.136304326269894,1.0309305133517284,1.0285837828214976,1.001666140796787,1.0239440032876073,2.243926783455969,1.1241232602598863,1
2011,Kentucky,Connecticut,3.524445042251358,-0.252881721266192,0.02362786937173844,-0.027374156261117832,-1.5983714700734737,0.6468211584894874,1.0304399550817698,0.9972987822534797,1.0256785000409128,0.9629763748010612,0.7637393574677769,1.0100768998428313,0
