team_a,team_b,adjoe_diff,adjde_diff,barthag_diff,sos_diff,wab_diff,adjt_diff,adjoe_ratio,adjde_ratio,barthag_ratio,sos_ratio,wab_ratio,adjt_ratio
Duke,Michigan,0.49186803295383186,0.2682115947715431,0.000186807629867336,-0.05710096794891739,-0.5022204568538573,-5.626767433878513,1.003853177629146,1.0029638934002139,1.0001893620076818,0.9284736740942598,0.964562609521697,0.9212171660044672
Duke,Arizona,1.2365939444167537,-0.5721700323230152,0.003666110223713215,0.002298483611865132,0.004138911923030619,-4.232892455109081,1.0097440427512034,0.9937353335834666,1.003748513073136,1.0031091800623824,1.0003027950507728,0.9395537317922693
Duke,Florida,2.062257319475492,-1.4260285503734735,0.007991577848675768,-0.01719775767424958,5.134715906309276,-4.597081965487675,1.0163564789852062,0.9845311040545859,1.0082087251272176,0.9773232631269574,1.601596928525005,0.9346927002349669
Duke,Houston,2.8012425131468746,-1.5743030180229596,0.010311655231707961,0.010269167478675456,4.683171245178562,2.4722260709146724,1.0223486186641633,0.9829501157959445,1.010617447733674,1.0140474163119841,1.5211231554333862,1.039041961418393
Duke,Gonzaga,7.881659352808001,-3.1944358087085334,0.03667529197891273,0.11366687547906362,6.304154219771801,-3.1307411499390128,1.065537112538798,0.9660004641455452,1.038819404273151,1.181121459182257,1.8558793460293979,0.954577700162847
Duke,Iowa St.,4.394547802527683,-1.8223935045646158,0.01574732129528278,0.044170851221806195,6.286234248555411,-1.1603296210042373,1.0355115948459126,0.9803161562477265,1.016306123446985,1.0633656370254108,1.8513751475097886,0.9826699441937424
Duke,Illinois,-3.788423045939936,-7.391661764263148,0.013669214240462413,0.0026155987324211205,7.107946274045094,0.0823781981458751,0.9712851565330919,0.9246920829573054,1.014123742886768,1.0035398504639126,2.0832126706820766,1.0012536076832712
Duke,Purdue,-4.409572119695525,-9.457513578485234,0.019990205816655116,-0.03245853080644512,5.36808566432658,1.1750068458212723,0.9667336982342489,0.9056309413017731,1.0207911988190224,0.9580459562219624,1.6466191598767188,1.0181834631733946
Duke,UConn,5.081116879161442,-4.140417513710233,0.029368847324883207,0.02700571146953956,4.829190858469159,1.2121150874917674,1.0412887161138795,0.9563713138532869,1.0308470341534217,1.0378096351743094,1.5462472582275177,1.018768498994355
Duke,Michigan St.,5.251593589166362,-5.3454553034304695,0.037280117382263556,-0.005525561900898812,6.232925901454645,-0.16990859096389954,1.0427331927874341,0.9443797663307645,1.039484884767345,0.9925992754629898,1.8381043853662073,0.9974242225301669
Duke,Virginia,5.927988640643633,-4.98995722667668,0.03839021443007773,0.0641735944607138,5.89763013345285,0.2210290722154582,1.0485041104007857,0.9478860043268406,1.0407085294155247,1.0947811935391019,1.7588081166737333,1.0033706944276832
Duke,Nebraska,10.908980912455874,-2.6939963208772326,0.050098983101509176,0.046050753193929705,6.236734721115236,-1.012008560939563,1.0930520866870048,0.9711732795749354,1.0537925902609508,1.0662411711139643,1.8390462517156456,0.9848516281394812
Duke,Vanderbilt,0.35676482979461355,-8.401871805828947,0.032761114461735574,0.009313901448490314,6.0968350787537355,-3.2867914116821026,1.0027918541837129,0.9152718793105938,1.0345332077279021,1.0127239316365406,1.8050727729598979,0.9524213690369433
Duke,Louisville,4.142952097649399,-7.34285851437447,0.04474029823068182,0.03233453127639041,9.674862274774352,-3.914909925121705,1.0334105650905834,0.925152085642274,1.047763887673777,1.0456108830112791,3.421745452701746,0.9438395484471359
Duke,Arkansas,0.36168435074363003,-11.131488210837915,0.05031330836184433,0.0009500261597270576,6.870941248182392,-5.285964173204121,1.002830460845035,0.8907524632704913,1.0540351566772799,1.001281975806634,2.0105934675669346,0.9256340461887045
Duke,Alabama,-1.311604349563055,-11.966798681147793,0.046823511689096375,-0.04807737117807376,7.143757784522775,-7.247062506027689,0.9898683140680311,0.8835094793277601,1.0500993596853272,0.939088207505588,2.094644153006074,0.9007816228407141
Duke,Texas Tech,1.889160825666039,-7.977467029714177,0.037295299090274736,-0.01870857383325908,8.637146721014318,-0.6040532760087558,1.0149630473096927,0.9192059718462481,1.039501599947046,0.9753802797933812,2.7162015212641406,0.9909025963605599
Duke,Tennessee,6.656569813760797,-4.68144324732441,0.04011465090880717,0.008910104146300002,9.53129986528382,0.5797482663801787,1.0547921619421694,0.9509500130605096,1.0426150758649846,1.012165524097005,3.30304853526264,1.0088898203464627
Duke,Kansas,10.30303126697558,-3.5557017505448982,0.05311800526572419,-0.045660488531520826,7.4055571833034435,-1.8152507670068587,1.087431515848318,0.9623003395669703,1.0572197455436432,0.9419725407816841,2.1821841113519946,0.973151028792941
Duke,BYU,3.425630841340279,-13.489796665187214,0.09431051244437327,-0.007617154144819338,9.116883552825161,-3.9794079110681793,1.0274668833402205,0.8706022894623157,1.1063114337845457,0.9898268781695314,3.002401696468392,0.9429670766664507
Duke,North Carolina,6.703180405753756,-9.22543392483918,0.07801905755049077,0.038154940128603765,8.743952674290737,-2.192258427521665,1.055197004517936,0.9077330143427039,1.086360721712137,1.0542669262416984,2.7750955740329175,0.9677546030978516
Duke,Wisconsin,0.9601650979272307,-10.839326101366794,0.05167049968553317,0.0064991673929015725,8.300957733127774,-2.8805084201208473,1.0075494086133883,0.8933139161726892,1.0555737783285373,1.0088442346809783,2.5461188046515795,0.9580559181058229
Duke,Iowa,6.032489686238918,-9.395041667375793,0.07425964964961196,0.049462507509696385,11.73228067785573,2.7803801936526185,1.0494014018519635,0.9061958255346289,1.081858663493345,1.0714997758616809,7.055130386341144,1.0441231266685513
Duke,Utah St.,5.175729146749191,-11.269597210298798,0.08606976099139552,0.10175170586165638,9.719924846510303,-1.751866996013419,1.0420898865435742,0.8895467358626035,1.096128968297191,1.1591141848721558,3.460782233175783,0.974064208896892
Duke,Kentucky,8.26139674960163,-9.144428545427232,0.09086713652691103,0.004603339481632163,10.364836834474158,-2.518963146034608,1.0689122784982439,0.9084690239224357,1.1020337977720924,1.0062478249333169,4.136088152331026,0.9631263780865786
Duke,Saint Louis,8.643703754260642,-11.384074319507135,0.12269948682815268,0.22495305295000023,11.814859100950954,-5.198515551289063,1.0723319523281745,0.8885497923631982,1.1428858179463957,1.4357163460335853,7.369201586709751,0.9267742350043214
Duke,Ohio St.,2.8966645110796776,-10.789564260859493,0.06368015643895619,0.01369297814514181,10.774951898811706,-0.34829862960630464,1.023127512739314,0.8937516587060783,1.0693871992051103,1.018819527023688,4.7220389057503525,0.9947341247743161
Duke,UCLA,3.642869947377193,-10.961050577936987,0.07058287706177058,0.027507616267596013,10.073238683638962,1.1187769689435498,1.0292596836492633,0.892244941387238,1.077491512287117,1.038539440935408,3.8007521736012024,1.0172982415775744
Duke,Miami (FL),7.093258269384876,-10.640954514032714,0.09680009404523027,0.10134833876376292,9.817117258834347,-2.1343919234097655,1.0585973007502527,0.8950614991116786,1.109424933019135,1.15838350977733,3.548086790858199,0.9685790032759661
Duke,Georgia,3.85498679326534,-13.929078289230674,0.1034299063250459,0.07049070339897734,11.068610814361495,-6.226405820600064,1.031016258875021,0.8669492206462964,1.117802371651976,1.1050919219142392,5.255117481472545,0.9135472081304281
Duke,Clemson,11.6316559177707,-6.127931825115397,0.08848791406954937,0.05865530613819958,10.49259009236696,1.5217764592532603,1.0998317992412783,0.9367529304501634,1.0990974112354746,1.0859304658131557,4.302394190022522,1.023676853925154
Duke,Villanova,8.546369372174638,-9.72763825581248,0.10040355962589176,0.03421560106888155,9.734068218523078,0.858321576085828,1.0714592376239194,0.9031965010996036,1.1139626353044239,1.0483928007331769,3.4732186540151795,1.0132179138889295
Duke,SMU,5.124013858024512,-14.14054851589728,0.11938438612414981,0.027421565526458913,13.68552245200489,-2.8239571237059664,1.0416518121934084,0.8652015422091835,1.1384906435728066,1.0384142440590443,-872.6338861132892,0.9588454916510546
Duke,TCU,13.30961624840991,-8.831224600302136,0.14419218599174477,0.06867076106858583,11.290720955581095,-1.7784394468668125,1.1159025193144638,0.9113260386459964,1.1722252671569757,1.1021015658915891,5.74572191458247,0.9736811668027466
Duke,Auburn,3.969119984453883,-14.978691170241916,0.11749963892220194,-0.019440321514761938,13.49486379819692,-1.5385582555877448,1.0319638982458836,0.858343538402089,1.136006877967838,0.974441990926527,78.11632176513896,0.9771500105904211
Duke,Santa Clara,3.176648288299475,-12.89129221666127,0.08568580054909147,0.12879901215196587,11.532266396385804,-3.4633268325882938,1.0254197809914534,0.8756292886972353,1.095659105926124,1.2103047869732781,6.394982194560731,0.9499936845603318
Duke,Indiana,6.218479370488353,-11.301913357537714,0.09597689514911056,0.039437578997148615,14.09207645324911,-0.3910424297073547,1.0510021950752255,0.8892650786102786,1.108393493555403,1.0561937581178191,-32.37621857478063,0.9940917076146392
Duke,Texas,4.118519008023753,-15.566788177002351,0.12688636616544524,0.06962292384413415,13.872308799150948,-1.2994187846126408,1.0332069829226205,0.8535960505748613,1.1484855325371037,1.1036640476680446,-67.52166872530428,0.9806328180295647
Duke,Texas A&M,8.290095026913676,-10.560499861312167,0.10797325527222468,0.0674216571216536,12.077038912168856,-5.216801864681742,1.0691682225571046,0.8957722263921323,1.1236167918740192,1.100058505377543,8.582180904345078,0.9265355787908943
Duke,VCU,9.028805996081417,-12.712607538253593,0.14676690173646834,0.18158069064003035,12.299115109662756,-3.02143361647164,1.07579882167325,0.8771413818507805,1.175841331618447,1.3244503047690022,9.972594052589885,0.9560939560035269
Duke,San Diego St.,15.96070051304342,-5.287396089790278,0.12500686526171312,0.09467000080078447,13.766833778528936,-2.7968503664057636,1.1422731723033028,0.9449506245930189,1.1459650336567595,1.146418605395832,-140.96067943078287,0.9592244198793487
Duke,New Mexico,11.74353303099592,-11.266720705969348,0.161519921498937,0.14608817244611416,14.092915931093826,-4.030068130007351,1.1008888896431688,0.8895718152063808,1.1969991340328077,1.2454644941919275,-32.311974230076764,0.9422829201842056
Duke,Oklahoma,3.041583452343673,-15.035487268025832,0.10843111078478918,0.0422529572729573,14.153959342169212,-0.3480383408001728,1.0243127044136877,0.857882742165573,1.1242060962678375,1.0604479291601772,-28.23755735997994,0.9947380393236351
Duke,Cincinnati,15.867755352646356,-2.860409440451832,0.0915252023642692,0.059177537065462804,15.659303106836001,-1.8502332377966013,1.141327570735495,0.9694470056440038,1.1028487408701384,1.0867619313809629,-6.871188463340166,0.9726477636473226
Duke,Tulsa,7.306964060589053,-17.337426721243176,0.19877202188744647,0.2538295486675273,14.692370789005285,-1.9701704399894737,1.060469475410024,0.8396142385952415,1.2539735733234278,1.5207760039712694,-13.368877637563097,0.9709262665632454
Duke,Baylor,4.838668379148075,-15.719894821335373,0.13757858045849547,0.03368725373833892,15.855298964329945,-2.040489212411728,1.0392412903022366,0.852368681233447,1.1630379160374216,1.047609932984499,-6.2549631219655515,0.9699197894908976
Duke,UCF,8.168920765754734,-14.842271885357178,0.1687581665708825,0.031241744809312744,11.544102038847031,-3.3181193352358065,1.0680883693423568,0.8594523558950784,1.207660653673878,1.0440015282678756,6.430587760578585,0.9519896477113716
Duke,Akron,11.020951390295195,-14.554036992464674,0.20897844238090912,0.3477789216192223,13.887082635195338,-4.514767785749882,1.0940970507462724,0.8618045789889217,1.2705426444418444,1.883907541753132,-62.929411955393505,0.9357869867366304
Duke,Seton Hall,19.44715134749046,-5.5026346522269876,0.1797137537445228,0.06310827660673524,13.934173276125934,0.6381562126739482,1.17891151745829,0.9428377801303772,1.2241638166795958,1.0930613208207867,-51.71787835214681,1.009794217299134
Duke,Virginia Tech,10.590336659162162,-12.276711414391656,0.16150657348395725,0.06093604193764923,14.522628809756306,-1.3913178587957589,1.0900892336152415,0.880852091292716,1.1969796470607545,1.0895711065302185,-16.029918710167323,0.9792914743475899
Duke,Washington,11.371924971940075,-11.392825943009797,0.15822857071415786,0.012876485200858045,16.635416681563235,-1.253633170718814,1.0973854959366736,0.8884736692907118,1.1922131747585256,1.0176774245192892,-4.609537390577902,0.9813024695999004
Duke,Missouri,8.274648946772231,-12.200825974851227,0.129647093991895,0.06421459229963133,12.521842415756863,-0.5772035444284285,1.0690304522838836,0.8815013021191329,1.1522079670844654,1.0948474895148521,11.90738501022662,0.9913034520648677
